FID,osm_id,code,fclass,name
0,2534762,2252,pitch, 
1,2838058,2204,park, 
2,2903046,2204,park, 
3,2903368,2204,park,St Michael's Green
4,2903369,2204,park, 
5,2903398,2204,park,Bush Hill Park
6,2914274,2204,park,Stephens House & Grounds
7,2926821,2204,park,Oakwood Park
8,2939009,2204,park,Enfield Town Park
9,2939140,2204,park,Victoria Recreation Ground
10,2953350,2204,park,Sunnyhill Park
11,2955990,2204,park,Whetstone Stray
12,2956123,2252,pitch, 
13,2956125,2204,park,School Playing Fields
14,2956188,2201,theatre,Broadway Theatre
15,2956192,2522,sports_shop,JD Sports
16,2956193,2251,sports_centre,Air Thrill
17,2956783,2204,park,Lewisham Park
18,3178749,2204,park,Norfolk Square
19,3241371,2204,park,Russell Square
20,3241840,2204,park,Tavistock Square
21,3385169,2204,park,Glebelands Playing Fields Park
22,3400436,2204,park,Friary Park
23,3401837,2204,park,Hatherop Park
24,3430579,2204,park,Carlisle Park
25,3541791,2204,park,Hampton Court Green
26,3595906,2204,park, 
27,3664747,2204,park,Durants Park
28,3687942,2204,park, 
29,3690582,2204,park, 
30,3690586,2204,park, 
31,3690598,2204,park,The Pleasance
32,3725111,2204,park, 
33,3794047,2252,pitch, 
34,3810263,2255,golf_course,Bush Hill Park Golf Club
35,3810529,2255,golf_course,Trent Park Golf Course
36,3810598,2255,golf_course,Enfield Golf Club
37,3819393,2255,golf_course,Hadley Wood Golf Course
38,3848339,2255,golf_course,Old Fold Manor Golf Course
39,3872808,2204,park,Broomfield Park
40,3986346,2204,park,Kensington Gardens
41,3988895,2204,park,Grove Park
42,3990234,2204,park,Fryent Country Park
43,3991615,2204,park,Hampton Court Park
44,3991822,2252,pitch, 
45,4001101,2204,park,Big Wood
46,4001293,2204,park,St Pancras and Islington Cemetery
47,4006015,2204,park,Old Deer Park
48,4013115,2255,golf_course,South Hertfordshire Golf course
49,4013452,2204,park,Arrandene Open Space
50,4020542,2204,park,Fortune Green
51,4020620,2204,park,Grove Farm local nature reserve
52,4040566,2204,park,Hendon Park
53,4040975,2204,park,Wood End East Recreation Ground
54,4045176,2204,park,Gladstone Park
55,4045840,2204,park,Bellingham Green
56,4045842,2204,park,Mountsfield Park
57,4049350,2204,park,Lammas Park
58,4068461,2082,school,Wood End Primary School
59,4072806,2204,park,Queens Park
60,4075108,2204,park,Lincoln's Inn
61,4075881,2252,pitch, 
62,4075885,2543,doityourself,Homebase
64,4076614,2251,sports_centre,St Dunstan's College Jubilee Grounds
65,4076620,2543,doityourself,Wickes
66,4076656,2501,supermarket,Sainsbury's
67,4076730,2204,park,Bethune Park
68,4076765,2252,pitch, 
69,4078565,2255,golf_course,Lee Valley Golf Course
70,4078566,2204,park,Craig Park
71,4078567,2204,park,Pymmes Park
72,4078593,2204,park, 
73,4080097,2255,golf_course,North Middlesex Golf Club
74,4081035,2204,park,Crescent Gardens
75,4081036,2204,park,Park Square Gardens
76,4081049,2204,park,Grosvenor Square
77,4082325,2082,school,St Paul's Girls' School Playing Fields
78,4082589,2204,park,Leicester Square
79,4082589,2721,attraction,Leicester Square
