FID,accessibility,WDI,HSA
0,0.655622375,1.788845919,1.17280741
1,0.079623512,1.234648715,0.098307066
2,0.096310981,1.280815023,0.123356552
3,0.086841377,1.344859491,0.11678945
4,0.103652771,1.301203583,0.134873358
5,0.085064097,1.339546117,0.113947281
6,0.100270732,1.226434485,0.122975484
7,0.098457689,1.129246198,0.111182971
8,0.072277433,1.336701164,0.096613329
9,0.072128129,1.360892016,0.098158595
10,0.134679311,1.210735681,0.163061047
11,0.141839772,1.214237054,0.172227107
12,0.185795332,1.59207276,0.295799687
13,0.190870624,1.217739263,0.232430653
14,0.170027416,1.221450469,0.207680067
15,0.12680109,1.293694519,0.164041876
16,0.495242715,1.742731509,0.863075083
16,0.454771402,1.752954814,0.797193719
17,0.660060792,1.782063363,1.176270154
18,0.477466264,1.779545584,0.849672982
18,0.491411991,1.790353146,0.879801004
19,0.727507605,1.743001077,1.268046539
20,0.729050199,1.788487162,1.303896921
21,0.708581985,1.794425146,1.271497333
21,0.711527953,1.794425146,1.276783651
22,0.760675708,1.788487162,1.360458738
23,0.665949485,1.799005859,1.198047025
24,0.79912052,1.809972462,1.446386136
25,0.65351697,1.815343041,1.186357485
26,0.713182873,1.791276344,1.27750761
26,0.717106402,1.809972462,1.297942841
27,0.710822564,1.797549952,1.277739067
28,0.090380874,1.287868684,0.116398698
29,0.239026836,1.368397881,0.327083816
29,0.297735469,1.350167019,0.401992611
30,0.219860199,1.35922757,0.298840044
31,0.223872813,1.299116619,0.290836892
31,0.230391126,1.341920038,0.309166468
32,0.212624793,1.234638761,0.262514811
33,0.250436566,1.563290991,0.391505227
34,0.140780571,1.472291023,0.207269971
35,0.192790042,1.418550447,0.2734824
35,0.203072739,1.399687005,0.284238274
36,0.179715084,1.301258071,0.233855704
37,0.189580748,1.269663687,0.240703792
38,0.171179833,1.305834746,0.223532573
39,0.229518463,1.446935133,0.332098328
40,0.512256795,1.748451049,0.89565593
41,0.271833091,1.677116209,0.455895683
42,0.379589536,1.747108918,0.663184263
43,0.361426757,1.77251814,0.640635484
44,0.409228873,1.789403423,0.732275545
45,0.541090151,1.796442196,0.972037178
46,0.541382627,1.792290135,0.970314741
47,0.584294187,1.792290135,1.047224708
48,0.583346505,1.792290135,1.045526187
49,0.470606998,1.769265122,0.832628548
50,0.478181125,1.769265122,0.846029186
51,0.524612764,1.775321407,0.93135627
52,0.605349297,1.780384397,1.077754443
53,0.649441313,1.747691998,1.135023386
53,0.62297961,1.754959828,1.093304189
54,0.659252733,1.743741971,1.14956666
54,0.660438673,1.781537434,1.176596218
55,0.412841581,1.784018121,0.736516862
56,0.392198652,1.528422591,0.59944528
57,0.347841469,1.53768345,0.534870071
57,0.351010456,1.536339635,0.539271276
58,0.335107337,1.564011719,0.524111802
59,0.267066752,1.523988899,0.407006766
60,0.315368616,1.583418935,0.499360638
61,0.267173501,1.553630307,0.415088848
61,0.312318799,1.530311083,0.477944919
61,0.323712267,1.521061631,0.492386309
61,0.328926829,1.521061631,0.500317978
62,0.304494192,1.356892802,0.413165977
63,0.412082631,1.670614402,0.688431178
63,0.424049083,1.762782445,0.747506279
64,0.384640034,1.475295082,0.567457551
64,0.396643042,1.527432674,0.605845542
65,0.34087346,1.559614411,0.53163116
66,0.401826559,1.69704328,0.681917062
67,0.306363474,1.451061723,0.444552311
67,0.320864591,1.476312278,0.473696335
68,0.319364657,1.578219739,0.504027606
69,0.298004049,1.359810242,0.405228958
69,0.301773745,1.380346192,0.416552239
70,0.389746251,1.613401512,0.62881719
70,0.469589828,1.64869369,0.774209787
71,0.362362865,1.602356285,0.580634414
72,0.372947557,1.551457537,0.578612298
72,0.397633297,1.527432674,0.60735809
73,0.308534297,1.51935296,0.468772497
73,0.360151462,1.573411169,0.566666332
74,0.351316138,1.536339635,0.539740907
74,0.35720572,1.609949147,0.575083044
75,0.688600646,1.77519491,1.222400361
76,0.701442696,1.77519491,1.245197504
77,0.439879966,1.768955921,0.778128271
78,0.499812909,1.79044498,0.894887514
79,0.352492324,1.772575717,0.624819333
80,0.494919831,1.785124086,0.883493311
81,0.769000288,1.764680762,1.357040014
82,0.75132238,1.797226841,1.350296747
83,0.612794506,1.793613776,1.099116667
84,0.615060036,1.797020424,1.105275447
84,0.628018734,1.793613776,1.126423053
85,0.52460229,1.775357493,0.931356606
86,0.588805222,1.799729226,1.059689966
87,1.341959691,1.308999832,1.75662501
87,1.329763749,1.331871206,1.771074049
87,1.564073491,1.24282732,1.943873265
87,1.556813029,1.24282732,1.934849764
88,1.19302191,1.350110379,1.610711262
89,1.132603223,1.390188172,1.574531604
90,1.341759697,1.331707515,1.786831471
90,1.546949857,1.323656351,2.047630002
91,1.09149008,1.399436576,1.52747114
91,1.231305411,1.372624503,1.690119978
92,0.968083223,1.469202997,1.422310772
92,1.041989511,1.442234127,1.502792832
93,0.720541212,1.571701083,1.132475403
93,0.703932846,1.579071909,1.111560583
93,0.592056144,1.618669483,0.958343213
93,0.838841527,1.463683532,1.227798529
93,0.82753423,1.475968845,1.221414742
93,0.732651514,1.548597229,1.134582105
94,0.588214575,1.620845406,0.953404892
94,0.585474984,1.622485362,0.949924592
95,0.571600737,1.634465812,0.934261863
96,0.917848381,1.471476145,1.350591998
96,0.841528183,1.45547731,1.224825176
97,0.885274418,1.421158548,1.258115306
98,0.477237727,1.729908789,0.825577739
99,0.560265897,1.631037489,0.913814682
99,0.570763301,1.617715216,0.923332476
100,0.490224853,1.753960732,0.859835142
101,0.537717839,1.804317154,0.970213521
102,0.631871863,1.817430304,1.148383072
103,0.481670082,1.80561217,0.869709361
103,0.492876945,1.794850832,0.884640595
104,0.427775155,1.814882804,0.776361774
105,0.39556388,1.727238484,0.683233157
105,0.399385441,1.727238484,0.689833904
105,0.404961906,1.745606139,0.706903989
105,0.40948936,1.767814733,0.723901324
106,0.400574794,1.723624904,0.690440692
106,0.400574826,1.723624904,0.690440745
106,0.407589218,1.815457154,0.739960762
106,0.407589257,1.815457154,0.739960834
107,0.481725299,1.835547891,0.884229857
107,0.483287839,1.820071348,0.879618348
108,0.45549395,1.519515073,0.692129923
108,0.460122709,1.621475805,0.746077841
109,0.342519823,1.525940339,0.522664814
109,0.411366295,1.536929483,0.632240987
110,0.333435831,1.521061631,0.507176448
110,0.348755955,1.443840446,0.503547954
111,0.585800206,1.823053533,1.067945136
112,0.591448085,1.837208516,1.086613459
112,0.588303015,1.832590175,1.078118326
112,0.650899208,1.825695919,1.188344028
112,0.64688281,1.825695919,1.181011307
113,0.524012122,1.789888172,0.937923099
114,0.481141931,1.731625361,0.83315757
115,0.73739636,1.738029811,1.281616857
115,0.857085725,1.783395092,1.528522475
116,0.778010422,1.738623832,1.352667461
117,0.767451805,1.741053342,1.33617453
117,0.767567238,1.741053342,1.336375505
117,0.783146913,1.765380868,1.382552578
117,0.781382587,1.765380868,1.37943787
118,0.638539729,1.746350477,1.115114161
118,0.693389989,1.806196699,1.252398709
119,0.723762335,1.740517564,1.259721057
120,0.676446424,1.753234836,1.185969436
120,0.626153136,1.747470039,1.094183846
121,0.702687694,1.750245619,1.229876057
122,0.513761275,1.782060369,0.915553607
123,0.544456125,1.743631578,0.949330893
123,0.602952784,1.761093958,1.061856505
124,0.532684485,1.771999046,0.9439164
125,0.782385067,1.81157431,1.417348687
126,0.787454883,1.804037392,1.420598054
126,0.726205954,1.807719687,1.3127768
127,0.828611376,1.823801908,1.511223008
128,0.880691109,1.803069684,1.587947439
128,0.881734483,1.803069684,1.589828714
128,0.82216434,1.808180348,1.486621402
128,0.821283461,1.808556553,1.485337585
129,0.820218638,1.808268454,1.483175489
130,0.80900162,1.760940031,1.424603338
131,0.794772312,1.758002173,1.397211452
131,0.84280208,1.760003604,1.483334699
132,0.836255495,1.745608048,1.459774322
132,0.814969107,1.763022768,1.436809091
133,0.799346948,1.755438713,1.403204578
133,0.796117252,1.76300654,1.403559921
133,0.849343737,1.754271711,1.48997969
133,0.849164679,1.755542158,1.490744393
134,0.858269882,1.855247468,1.592303024
134,1.011936078,1.826039398,1.847835146
135,0.802244958,1.834981631,1.472104761
135,0.695972995,1.833451178,1.276032507
136,0.877425031,1.826800794,1.602880743
137,1.001747918,1.83958137,1.842796808
137,1.118124564,1.864817381,2.085098121
138,1.002587749,1.805954908,1.810628266
139,0.974313312,1.828029925,1.78107389
139,0.934350044,1.828029925,1.70801984
139,0.924022297,1.819217733,1.680997748
139,0.92274845,1.819217733,1.678680344
140,1.041256565,1.823413091,1.89864085
141,1.017966641,1.817584847,1.850240742
141,1.021617876,1.823226997,1.862641291
141,0.833811634,1.827688119,1.523947617
141,0.834398197,1.827688119,1.525019671
142,1.056932737,1.828478834,1.932579139
143,0.570433952,1.846392655,1.05324506
144,0.594928641,1.879792172,1.118342202
145,0.562365582,1.874026807,1.053888176
146,0.977133096,1.164666293,1.13803398
146,1.002087995,1.170635977,1.173080259
146,0.998495496,1.170635977,1.168874751
146,0.981253715,1.170635977,1.148690901
146,1.015192647,1.145949238,1.16335924
146,0.984961922,1.159534158,1.142096992
146,0.964290286,1.176099925,1.134101734
146,0.978770387,1.16218726,1.137514473
146,0.858444066,1.168603883,1.00318107
146,0.918541821,1.165740593,1.070781488
146,0.91533503,1.165740593,1.067043201
146,0.862517994,1.168603883,1.007941877
146,0.931104305,1.168603883,1.088092106
146,0.852611802,1.165740593,0.993924188
146,0.843753316,1.175045349,0.99144841
146,0.846124369,1.171965507,0.991628575
147,1.646143772,1.156621771,1.903965725
147,1.684715897,1.156621771,1.948579085
147,1.650103897,1.156621771,1.908546092
147,1.693147267,1.17238627,1.98502261
147,1.691418814,1.17238627,1.982996196
147,1.741615345,1.169557658,2.036919564
148,1.71123783,1.156621771,1.97925493
148,1.713583659,1.156621771,1.981968167
148,1.602869698,1.153832935,1.849443848
148,1.712194538,1.156621771,1.98036148
148,1.499412375,1.197677407,1.795812325
148,1.499242985,1.153832935,1.729875934
148,1.352633441,1.125268522,1.522075833
148,1.494886093,1.153832935,1.724848808
149,1.717465993,1.159266103,1.991000108
150,1.709060157,1.159266103,1.981255508
151,1.738278419,1.139236503,1.980310227
152,1.851670827,1.157438687,2.143195451
152,1.865793081,1.157438687,2.159541094
153,1.571747052,1.156140836,1.817160952
153,1.610657918,1.184207103,1.907352548
154,1.515992516,1.156140836,1.752700855
154,1.519924344,1.156140836,1.757246602
155,1.704080269,1.141394472,1.945027799
156,1.745158024,1.175149738,2.050821996
156,1.716262191,1.173218268,2.013550154
157,1.461886693,1.158232166,1.693204191
158,1.626515628,1.225890808,1.993930558
158,1.537642235,1.225890808,1.884981482
158,1.695992046,1.176849844,1.995927975
158,1.688089197,1.178294952,1.98906698
159,1.816574552,1.195370507,2.171479644
159,1.582499793,1.211619956,1.91738833
160,1.25496332,1.147594384,1.440188858
160,1.447240322,1.156140836,1.673213636
160,1.202447337,1.147594384,1.37992181
160,1.195291363,1.147594384,1.371709654
160,0.8655754,1.162723787,1.006425107
160,1.136989085,1.174360165,1.335234689
160,0.858407767,1.165740593,1.000680779
160,0.855147191,1.165740593,0.996879794
161,1.811410958,1.195128081,2.164868103
161,1.987757336,1.192439464,2.370280292
161,1.794913821,1.178837419,2.115911576
161,2.092184995,1.190162339,2.490039787
161,2.008130717,1.16537543,2.340226197
161,2.048631838,1.190162339,2.43820446
162,1.663366531,1.181341503,1.965003919
163,1.934670077,1.191096493,2.304378744
163,1.901559706,1.146150319,2.179473264
164,1.836355076,1.178837419,2.164764078
165,1.766577465,1.174874592,2.075506978
165,1.767224484,1.177050254,2.080112028
166,1.85555969,1.146150319,2.126750331
166,1.883099666,1.191096493,2.242953409
167,1.588967184,1.218437023,1.936056445
167,1.5831228,1.218437023,1.928935431
167,1.639035637,1.208510901,1.980792434
167,1.631658101,1.208510901,1.971876602
168,1.542535777,1.217371303,1.87783879
168,1.54290834,1.214364499,1.873653113
168,1.563809732,1.181341503,1.84739334
168,1.563503185,1.181341503,1.847031204
168,1.566516981,1.181341503,1.850591526
168,1.597075423,1.181341503,1.886691481
169,1.876606413,1.146150319,2.150873039
169,1.92687892,1.144487992,2.205289785
169,1.862240652,1.160673433,2.16145325
169,1.814165951,1.163486718,2.110757988
170,1.948674664,1.146150319,2.233474088
170,1.950308329,1.146150319,2.235346513
170,1.875553239,1.146150319,2.149665943
170,1.836366773,1.146150319,2.104752363
171,1.912609491,1.157438687,2.213728218
171,1.816927483,1.15523428,2.098976913
171,1.853022715,1.15523428,2.140675362
171,1.739900344,1.17238627,2.039835276
171,1.798314299,1.163486718,2.0923148
171,1.832844559,1.163486718,2.132490299
172,1.911592202,1.157438687,2.212550769
172,1.91826057,1.157438687,2.220268996
172,1.933268331,1.157438687,2.237639559
172,1.898832004,1.157438687,2.197781622
172,1.850867544,1.148332685,2.125411696
172,1.896860581,1.148332685,2.178227004
173,1.577656247,1.210613262,1.909931575
173,1.632860817,1.185306028,1.935439768
174,1.640915764,1.255907794,2.060838898
174,1.651988083,1.255907794,2.074744709
174,1.82171421,1.245268576,2.26852346
174,1.863246693,1.195957587,2.228364019
174,1.867655624,1.195957587,2.233636913
174,1.960744069,1.155005155,2.264669507
175,1.396212069,1.251396197,1.747214474
175,1.57844101,1.25846057,1.986405773
175,1.437868838,1.251396197,1.799343596
175,1.312572698,1.340666517,1.759722267
175,1.39408937,1.263284123,1.761130967
175,1.314915779,1.340666517,1.762863557
176,1.518146944,1.285857943,1.952121306
176,1.569539098,1.25846057,1.975203069
177,1.422709149,1.265730459,1.800766305
177,1.420125718,1.265730459,1.797496377
177,1.458729469,1.251396197,1.825448511
177,1.540061544,1.293309754,1.991776616
177,1.311116708,1.340666517,1.757770269
177,1.305731588,1.340666517,1.750550619
177,1.352426777,1.295548499,1.75213448
177,1.40587164,1.292257406,1.816748039
178,1.545977043,1.228192874,1.898757988
178,1.592997067,1.18455002,1.886984706
178,1.549650231,1.228030587,1.903017883
178,1.523148496,1.238433802,1.886318583
178,1.574283866,1.238433802,1.949646352
178,1.530666601,1.238433802,1.895629257
179,1.15998201,1.431925352,1.661007649
