FID,accessibility,WDI,HSA
0,0.655622375,1.788845919,1.17280741
1,0.079623512,1.234648715,0.098307066
2,0.096310981,1.280815023,0.123356552
3,0.086841377,1.344859491,0.11678945
4,0.103652771,1.301203583,0.134873358
5,0.085064097,1.339546117,0.113947281
6,0.100270732,1.226434485,0.122975484
7,0.098457689,1.129246198,0.111182971
8,0.072277433,1.336701164,0.096613329
9,0.072128129,1.360892016,0.098158595
10,0.134679311,1.210735681,0.163061047
11,0.141839772,1.214237054,0.172227107
12,0.185795332,1.59207276,0.295799687
13,0.190870624,1.217739263,0.232430653
14,0.170027416,1.221450469,0.207680067
15,0.12680109,1.293694519,0.164041876
16,0.4750070585,1.7478431615,0.830134401
17,0.660060792,1.782063363,1.176270154
18,0.48443912749999996,1.7849493650000001,0.864736993
19,0.727507605,1.743001077,1.268046539
20,0.729050199,1.788487162,1.303896921
21,0.710054969,1.794425146,1.274140492
22,0.760675708,1.788487162,1.360458738
23,0.665949485,1.799005859,1.198047025
24,0.79912052,1.809972462,1.446386136
25,0.65351697,1.815343041,1.186357485
26,0.7151446375,1.800624403,1.2877252255
27,0.710822564,1.797549952,1.277739067
28,0.090380874,1.287868684,0.116398698
29,0.2683811525,1.3592824499999998,0.36453821350000004
30,0.219860199,1.35922757,0.298840044
31,0.2271319695,1.3205183285,0.30000168000000005
32,0.212624793,1.234638761,0.262514811
33,0.250436566,1.563290991,0.391505227
34,0.140780571,1.472291023,0.207269971
35,0.1979313905,1.409118726,0.278860337
36,0.179715084,1.301258071,0.233855704
37,0.189580748,1.269663687,0.240703792
38,0.171179833,1.305834746,0.223532573
39,0.229518463,1.446935133,0.332098328
40,0.512256795,1.748451049,0.89565593
41,0.271833091,1.677116209,0.455895683
42,0.379589536,1.747108918,0.663184263
43,0.361426757,1.77251814,0.640635484
44,0.409228873,1.789403423,0.732275545
45,0.541090151,1.796442196,0.972037178
46,0.541382627,1.792290135,0.970314741
47,0.584294187,1.792290135,1.047224708
48,0.583346505,1.792290135,1.045526187
49,0.470606998,1.769265122,0.832628548
50,0.478181125,1.769265122,0.846029186
51,0.524612764,1.775321407,0.93135627
52,0.605349297,1.780384397,1.077754443
53,0.6362104614999999,1.751325913,1.1141637875
54,0.659845703,1.7626397025,1.163081439
55,0.412841581,1.784018121,0.736516862
56,0.392198652,1.528422591,0.59944528
57,0.3494259625,1.5370115425000002,0.5370706734999999
58,0.335107337,1.564011719,0.524111802
59,0.267066752,1.523988899,0.407006766
60,0.315368616,1.583418935,0.499360638
61,0.308032849,1.531516163,0.4714345135
62,0.304494192,1.356892802,0.413165977
63,0.418065857,1.7166984235,0.7179687285
64,0.390641538,1.5013638779999998,0.5866515465
65,0.34087346,1.559614411,0.53163116
66,0.401826559,1.69704328,0.681917062
67,0.3136140325,1.4636870005,0.459124323
68,0.319364657,1.578219739,0.504027606
69,0.299888897,1.370078217,0.4108905985
70,0.4296680395,1.6310476010000001,0.7015134885000001
71,0.362362865,1.602356285,0.580634414
72,0.385290427,1.5394451055,0.5929851939999999
73,0.33434287949999997,1.5463820645,0.5177194145
74,0.354260929,1.573144391,0.5574119755
75,0.688600646,1.77519491,1.222400361
76,0.701442696,1.77519491,1.245197504
77,0.439879966,1.768955921,0.778128271
78,0.499812909,1.79044498,0.894887514
79,0.352492324,1.772575717,0.624819333
80,0.494919831,1.785124086,0.883493311
81,0.769000288,1.764680762,1.357040014
82,0.75132238,1.797226841,1.350296747
83,0.612794506,1.793613776,1.099116667
84,0.6215393849999999,1.7953171,1.11584925
85,0.52460229,1.775357493,0.931356606
86,0.588805222,1.799729226,1.059689966
87,1.44815249,1.2816314195,1.851605522
88,1.19302191,1.350110379,1.610711262
89,1.132603223,1.390188172,1.574531604
90,1.444354777,1.327681933,1.9172307365
91,1.1613977455,1.3860305395,1.608795559
92,1.005036367,1.455718562,1.462551802
93,0.7359262455,1.5429486801666668,1.1310290958333333
94,0.5868447795,1.621665384,0.951664742
95,0.571600737,1.634465812,0.934261863
96,0.879688282,1.4634767275,1.287708587
97,0.885274418,1.421158548,1.258115306
98,0.477237727,1.729908789,0.825577739
99,0.5655145989999999,1.6243763525,0.918573579
100,0.490224853,1.753960732,0.859835142
101,0.537717839,1.804317154,0.970213521
102,0.631871863,1.817430304,1.148383072
103,0.48727351350000003,1.800231501,0.877174978
104,0.427775155,1.814882804,0.776361774
105,0.40235014675,1.74197446,0.7009680935
106,0.40408202375,1.769541029,0.71520075825
107,0.482506569,1.8278096195,0.8819241025
108,0.4578083295,1.570495439,0.719103882
109,0.376943059,1.5314349109999998,0.5774529005
110,0.341095893,1.4824510385,0.505362201
111,0.585800206,1.823053533,1.067945136
112,0.6193832795,1.83029763225,1.13352178
113,0.524012122,1.789888172,0.937923099
114,0.481141931,1.731625361,0.83315757
115,0.7972410425,1.7607124514999999,1.405069666
116,0.778010422,1.738623832,1.352667461
117,0.77488713575,1.753217105,1.35863512075
118,0.665964859,1.776273588,1.1837564349999998
119,0.723762335,1.740517564,1.259721057
120,0.65129978,1.7503524375000001,1.1400766409999998
121,0.702687694,1.750245619,1.229876057
122,0.513761275,1.782060369,0.915553607
123,0.5737044545,1.752362768,1.0055936989999998
124,0.532684485,1.771999046,0.9439164
125,0.782385067,1.81157431,1.417348687
126,0.7568304185,1.8058785395,1.366687427
127,0.828611376,1.823801908,1.511223008
128,0.8514683482500001,1.80571906725,1.537433785
129,0.820218638,1.808268454,1.483175489
130,0.80900162,1.760940031,1.424603338
131,0.8187871959999999,1.7590028885,1.4402730755
132,0.825612301,1.754315408,1.4482917065
133,0.823493154,1.7570647805,1.4468721455
134,0.9351029799999999,1.8406434329999999,1.720069085
135,0.7491089765,1.8342164045,1.374068634
136,0.877425031,1.826800794,1.602880743
137,1.059936241,1.8521993755000001,1.9639474645
138,1.002587749,1.805954908,1.810628266
139,0.9388585257500001,1.823623829,1.7121929555
140,1.041256565,1.823413091,1.89864085
141,0.926948587,1.8240470205000001,1.69046233025
142,1.056932737,1.828478834,1.932579139
143,0.570433952,1.846392655,1.05324506
144,0.594928641,1.879792172,1.118342202
145,0.562365582,1.874026807,1.053888176
146,0.9331636404375,1.1668993180625,1.0887370778124998
147,1.6845241653333334,1.1640325851666666,1.9610048786666667
148,1.573257577375,1.156788755875,1.8204551656249999
149,1.717465993,1.159266103,1.991000108
150,1.709060157,1.159266103,1.981255508
151,1.738278419,1.139236503,1.980310227
152,1.858731954,1.157438687,2.1513682725
153,1.5912024850000002,1.1701739695,1.86225675
154,1.5179584300000002,1.156140836,1.7549737285
155,1.704080269,1.141394472,1.945027799
156,1.7307101075,1.1741840030000001,2.032186075
157,1.461886693,1.158232166,1.693204191
158,1.6370597765000001,1.2017316029999998,1.96597674875
159,1.6995371725,1.2034952315,2.044433987
160,1.102007723125,1.1584361407500001,1.2755317908750001
161,1.9571716108333332,1.1853508453333335,2.3199217358333333
162,1.663366531,1.181341503,1.965003919
163,1.9181148915000001,1.168623406,2.2419260039999998
164,1.836355076,1.178837419,2.164764078
165,1.7669009745,1.175962423,2.077809503
166,1.869329678,1.168623406,2.18485187
167,1.6106959305,1.213473962,1.954415228
168,1.5627249063333333,1.1928503023333334,1.8638665756666668
169,1.8699729840000001,1.1536996154999999,2.1570935155
170,1.90272575125,1.146150319,2.1808097267499997
171,1.8256031485,1.1612111588333331,2.119670144666667
172,1.9016135386666668,1.154403353,2.1953132743333335
173,1.6052585320000001,1.197959645,1.9226856715
174,1.8010440738333333,1.2173340821666667,2.1884629176666666
175,1.405683294,1.2843116868333333,1.8027801056666666
176,1.5438430209999998,1.2721592565,1.9636621875
177,1.402096574125,1.293163226,1.811586402
178,1.5527872173333332,1.2260124811666666,1.9033924615
179,1.15998201,1.431925352,1.661007649
180,1.1879611253333333,1.3478462115,1.6004839995
181,0.496994235,1.6781955425000001,0.8340822695
182,0.507586233,1.6550782545,0.8400097845000001
183,0.503816784,1.708278946,0.860659605
184,0.509573603,1.683908433,0.858075288
185,0.547931171,1.72024996375,0.9435714715
186,0.5925740985,1.7486159744999998,1.0387528275
187,0.38081893025,1.70894250225,0.650403748
188,0.522691477,1.7321350755,0.9052742935
189,0.624278573,1.760108118,1.098797785
190,0.5278547124999999,1.7787954655,0.939039466
191,0.622881312,1.805822561,1.124813125
192,0.763603924,1.800583187,1.374932387
193,0.701105347,1.72549077,1.2099088805
194,0.410094528,1.698865241,0.69669534
195,0.457818371,1.754833297,0.80339492
196,0.526222851,1.805569112,0.950131727
197,0.552270885,1.805054101,0.996878825
198,0.715258024,1.792516053,1.282111491
199,0.610296051,1.779317491,1.085910438
200,0.741581176,1.769092223,1.31192549
201,0.739296122,1.763598338,1.303821411
202,0.72466048,1.7706357785,1.2830988395
203,0.68231277275,1.79702456575,1.226142361
204,0.70176263725,1.801026616,1.263893188
205,0.668589528,1.791467361,1.19779431
206,0.6717756765,1.788021895,1.2011539455
207,0.599148374,1.78995042,1.072445883
208,0.6927369365,1.8172031080000002,1.2589113914999999
209,0.62517833,1.786930542,1.117150251
210,0.606911651,1.797731485,1.091064184
211,0.6577168103333334,1.8124826413333333,1.1920846893333332
212,0.5158187285,1.774229,0.9149488139999999
213,0.589364567,1.774951034,1.046093248
214,0.5497357945,1.7700034875,0.9730861915
215,0.6965880600000001,1.7750465155,1.236404491
216,0.692316803,1.801835796,1.247441198
217,0.692816958,1.778981096,1.232508272
218,0.7473340315000001,1.794384595,1.3411464245
219,0.693573884,1.796083896,1.245716883
220,0.68358396,1.793792782,1.2261572864999999
221,0.618483162,1.819524575,1.125345312
222,0.570583456,1.790268835,1.02149778
223,0.587169896,1.817775333,1.067342953
224,0.690652417,1.812227077,1.251619011
225,0.674311881,1.820732949,1.22774186
226,0.677732142,1.817068589,1.231485787
227,0.695306655,1.8033298365000001,1.253864513
228,0.694906591,1.795101649,1.247427967
229,0.704859358,1.816708283,1.280523835
230,0.727885444,1.832203806,1.333634481
231,0.728897271,1.82115673,1.32743617
232,0.660842844,1.779317574,1.175849286
233,0.701678229,1.76943347,1.241572943
234,0.713183668,1.770701298,1.262835248
235,0.766850974,1.781049286,1.36579938
236,0.678817081,1.773978353,1.204206807
237,0.706395068,1.761455328,1.244283356
238,0.730276403,1.751394317,1.279001942
239,1.3224832328333334,1.80095324875,2.3808681119166666
240,1.2587794595000001,1.8026751448333334,2.2690225461666667
241,1.1602489015,1.83062193725,2.123920326125
242,1.326704359,1.80622544,2.396327164
243,1.25493492275,1.8313645805,2.29826623975
244,1.291854223,1.833875445,2.369099738
245,1.4842097865000001,1.7689148465,2.625386509
246,1.453424378,1.7797924348333334,2.586688606666667
247,1.407553725,1.793662309,2.524676065
248,1.258702522,1.8150847245000001,2.2845752735
249,0.763523395,1.797819918,1.372677568
250,1.035634096,1.810286077,1.874793985
251,1.155776297,1.8143479605000001,2.097311592
252,0.998368934,1.816494695,1.813531873
253,0.962594046,1.792883401,1.725818887
254,1.0677579825,1.8169792825,1.940529084
255,1.030373975,1.820070016,1.875352777
256,0.592728836,1.82707375,1.082959297
257,0.610865199,1.832940861,1.119679784
258,0.305376547,1.034180507,0.315814472
259,0.309937865,1.03075529,0.319470094
260,0.369463451,1.096926704,0.405274326
261,0.391454081,1.053813492,0.412519592
262,0.75862148,1.13883927,0.863947933
263,0.401760635,1.1691031855,0.46749487075
264,0.514037241,1.079060151,0.554677103
265,0.46136355,1.066354183,0.491976951
266,0.69733723,1.074182645,0.74906755
267,0.852798867,1.127682396,0.961724362
268,0.8189861328333334,1.1693599206666667,0.9576449261666666
269,1.29704940025,1.05949427025,1.3745021265
270,1.3042564994999999,1.065073674,1.3893164255
271,1.312845269,1.066388461,1.400003046
272,1.3145178558333332,1.0603715306666668,1.3942913845
273,1.4079738203333332,1.083173974,1.5250805981666666
274,1.3522777929999998,1.066388461,1.442053435
275,1.0692936275,1.0948032429999999,1.1712620335000001
276,1.014084039,1.078034233,1.093217309
277,1.17396656525,1.11038106125,1.30448262625
278,1.3105361793,1.0897291717,1.4281785495
279,1.6417340516666667,1.07376178,1.7628366125
280,1.6769293379999999,1.072467121,1.7984515795
281,1.672436599,1.1067402613333333,1.8513035249999998
282,1.7397303145,1.0877762210000002,1.8927735668333332
283,1.7948442125000001,1.1016866104999998,1.9773522645
284,1.829518504125,1.106358776,2.0241665744999997
285,1.8529200705000002,1.111670197,2.0597254090000003
286,2.020917487,1.108322849,2.239829027
287,1.8427309488333332,1.1099817985,2.0474205716666667
288,1.97957248225,1.14780883275,2.27223150475
289,1.967215317,1.16537543,2.292544396
290,1.5847765655,1.0711599475,1.697230249375
291,1.4746554835,1.083173974,1.59730844
292,1.7171215681666665,1.1411782558333334,1.9623051093333335
293,1.8971618766666667,1.16364333,2.207536822833333
294,1.91805903175,1.1571265505000001,2.21941868875
295,1.49027121875,1.171841017,1.7477264665
296,1.752424129,1.168614049,2.047907456
297,1.685591148,1.224711839,2.064363435
298,1.6079588870000001,1.182025769,1.9006488400000001
299,1.5778438774999999,1.246478133,1.966263849
300,1.777229024,1.159232847,2.0602060405
301,1.737350541,1.1881264665,2.063542011
302,1.5324036255,1.3120111985,2.010353443
303,1.1476283418333333,1.3487928493333332,1.5525943508333333
304,1.624689309,1.197132545,1.944968447
305,1.75566535425,1.190401133625,2.09018268375
306,1.6759411965,1.205777831,2.02088683
307,1.6410864235,1.2438815525,2.041177357
308,1.54007852875,1.3096053486249999,2.0164802025
309,1.4059980568333332,1.3198638678333332,1.8545717443333334
310,0.9833064410000001,1.4309445355000001,1.4099338465
311,0.67261145425,1.54052938075,1.0236075602499999
312,0.513945884,1.633496089,0.839528591
313,0.47719382349999995,1.5376135125000001,0.7320579295
314,0.241991426,1.655412573,0.400595649
315,0.311713935,1.644166641,0.512509654
316,0.288553993,1.658999613,0.478710962
317,0.177387332,1.658673985,0.294227753
318,0.284852251,1.661783823,0.473362863
319,0.308462641,1.690465405,0.521445423
320,0.293599938,1.709696488,0.501966782
321,0.344689366,1.690484153,0.582691912
322,0.366073966,1.741396684,0.637479991
323,0.392727058,1.705121384,0.669647305
324,0.382901329,1.679528706,0.643093773
