FID,LSOA21CD,LSOA21NM,HSA,WDI,accessibility,score_perc
0,E01000001,City of London 001A,1.99126835,1.565243031,1.27381115,0.468916667
1,E01000002,City of London 001B,1.817970839,1.538200524,1.208721545,0.467843137
2,E01000003,City of London 001C,2.01393541,1.633337731,1.230586278,0.501212121
3,E01000005,City of London 001E,2.967698054,1.553440982,1.950090887,0.493072626
4,E01000850,Camden 026A,4.063999188,1.377662365,2.955912136,0.521266667
5,E01000851,Camden 026B,4.162034469,1.399018359,2.983998119,0.510629921
6,E01000853,Camden 029H,4.376189606,1.536089487,2.846108135,0.515957447
7,E01000855,Camden 028A,2.510105424,1.394212615,1.807489644,0.553577982
8,E01000914,Camden 028B,1.685758094,1.470259011,1.151233459,0.534529915
9,E01000915,Camden 027A,0.935423371,1.493335376,0.631776178,0.493833333
10,E01000916,Camden 027B,3.098038639,1.471565965,2.108748105,0.500718954
11,E01000917,Camden 027C,2.205451652,1.438835929,1.530182845,0.505436893
12,E01000918,Camden 028C,4.638029343,1.411448811,3.292283069,0.481301775
13,E01000919,Camden 028D,7.411397808,1.378693028,5.360402932,0.496559633
14,E01000920,Camden 027D,1.098938156,1.574487344,0.703068133,0.497126437
15,E01000937,Camden 029G,1.604419674,1.588083618,1.008459673,0.555584416
16,E01000938,Camden 029A,1.471275843,1.676229368,0.87777569,0.496491228
17,E01000939,Camden 029B,1.225058409,1.657248943,0.738421605,0.536610169
18,E01000941,Camden 029D,1.715211008,1.654236371,1.038361031,0.526226415
19,E01000942,Camden 029C,1.711054153,1.683674862,1.017150055,0.545789474
20,E01000943,Camden 029F,2.773809063,1.625566561,1.714217074,0.537692308
21,E01000944,Camden 023A,0.763498687,1.501823269,0.509361737,0.548135593
22,E01000946,Camden 021B,0.76054658,1.458740375,0.525488962,0.5296139
23,E01000947,Camden 021C,3.052489893,1.6750743,1.816712226,0.539384615
24,E01000948,Camden 021D,1.131064528,1.665091634,0.676687596,0.53
25,E01000949,Camden 023C,0.516731181,1.552777447,0.334583099,0.549807692
26,E01000951,Camden 023E,0.69461238,1.49987525,0.45995063,0.559245283
27,E01000952,Camden 022A,1.717882089,1.671041802,1.022505412,0.534878049
28,E01000954,Camden 022C,1.155615199,1.697672255,0.681122563,0.493333333
29,E01000955,Camden 022D,1.025325225,1.65872882,0.61837355,0.5275
30,E01000956,Camden 022E,1.481473347,1.684839777,0.877987426,0.510487805
31,E01001780,Hackney 032D,1.812258846,1.70144296,1.068153917,0.510337079
32,E01002695,Islington 021A,2.997627397,1.762735302,1.698872393,0.524732143
33,E01002696,Islington 020A,3.964150666,1.763074263,2.259448345,0.505365854
34,E01002697,Islington 019B,1.541960966,1.72571522,0.889713139,0.543606557
35,E01002701,Islington 023A,1.371468947,1.774356174,0.774872837,0.520273973
36,E01002702,Islington 023B,1.316085999,1.784447691,0.738164562,0.50815534
37,E01002703,Islington 023C,1.998781199,1.681384932,1.194357548,0.558571429
38,E01002704,Islington 023D,1.483486636,1.672191302,0.893260354,0.501415929
39,E01002706,Islington 023E,1.510943421,1.716560232,0.883069065,0.518125
40,E01002707,Islington 022B,1.756336939,1.749873299,1.009987792,0.544910714
41,E01002711,Islington 021B,1.747192074,1.713396407,1.026400323,0.511098901
42,E01002723,Islington 022C,1.682492832,1.690952656,0.998429884,0.543191489
43,E01002724,Islington 022D,3.309772541,1.512733983,2.201431939,0.500347826
44,E01002725,Islington 022E,2.366317671,1.593467299,1.486954763,0.560566038
45,E01002726,Islington 022F,2.961914753,1.586893661,1.871706127,0.538518519
46,E01002727,Islington 021C,2.129129674,1.669013695,1.27401183,0.540240964
47,E01002728,Islington 021D,1.524944831,1.677949176,0.910364636,0.546666667
48,E01002729,Islington 021E,1.788447275,1.642810151,1.08712841,0.547475728
49,E01002801,Islington 020C,1.16005513,1.80202562,0.642511921,0.516470588
50,E01002802,Islington 020D,0.93187678,1.750544493,0.534046602,0.538333333
51,E01002812,Kensington and Chelsea 013A,0.367059579,0.825323875,0.451328192,0.526226415
52,E01002813,Kensington and Chelsea 011A,0.448655636,1.010897347,0.440875769,0.516875
53,E01002816,Kensington and Chelsea 011C,0.431636071,1.12142205,0.37941026,0.513076923
54,E01002817,Kensington and Chelsea 011D,0.58548133,1.226639828,0.472656654,0.505641026
55,E01002818,Kensington and Chelsea 012A,1.259422648,1.335659568,0.930880204,0.521621622
56,E01002819,Kensington and Chelsea 012B,0.455691437,1.331348263,0.344285604,0.495354331
57,E01002824,Kensington and Chelsea 008A,0.347367794,1.328927772,0.264394702,0.536666667
58,E01002825,Kensington and Chelsea 008B,0.451089443,1.291685906,0.345711094,0.52942029
59,E01002826,Kensington and Chelsea 008C,0.539286785,1.280878315,0.419302824,0.5325
60,E01002827,Kensington and Chelsea 008D,1.009010278,1.186011084,0.802090636,0.518727273
61,E01002828,Kensington and Chelsea 008E,1.311375799,1.39639831,0.942421037,0.485652174
62,E01002863,Kensington and Chelsea 012E,0.830244587,1.189963345,0.696264846,0.528245614
63,E01002865,Kensington and Chelsea 011E,0.542237301,1.324764739,0.403827736,0.546666667
64,E01002883,Kensington and Chelsea 006B,1.249561867,1.327669806,0.948884156,0.504666667
65,E01002884,Kensington and Chelsea 006C,1.242031582,1.257261569,0.982344014,0.539166667
66,E01002885,Kensington and Chelsea 006D,0.812936866,1.132356849,0.716602524,0.523043478
67,E01002886,Kensington and Chelsea 006E,0.714578561,1.205660449,0.598093177,0.539166667
68,E01002887,Kensington and Chelsea 010A,0.511681948,0.858515693,0.597641773,0.532894737
69,E01002888,Kensington and Chelsea 013E,0.366950818,0.75556087,0.492311171,0.513333333
70,E01002889,Kensington and Chelsea 010B,0.560048857,1.142086261,0.48375924,0.533934426
71,E01002890,Kensington and Chelsea 010C,0.407487861,0.901016599,0.44992629,0.508243243
72,E01002891,Kensington and Chelsea 010D,0.34987229,0.993388143,0.356886349,0.527735849
73,E01002892,Kensington and Chelsea 010E,0.496849274,0.998724156,0.4988644,0.494193548
74,E01002901,Kensington and Chelsea 018C,0.243199913,1.135853193,0.204587366,0.54106383
75,E01002902,Kensington and Chelsea 018D,1.149084933,1.22986451,0.945014437,0.518039216
