FID,Join_Count,TARGET_FID,JOIN_FID,LSOA21CD,LSOA21NM,score_perc,accessibility,WDI,HSA
0,1,0,3739,E01000001,City of London 001A,0.46,1.750573307,1.609658741,2.817825625
1,1,0,3740,E01000001,City of London 001A,0.57,1.583188008,1.620289792,2.565223368
2,1,0,3741,E01000001,City of London 001A,0.57,1.394832238,1.62106742,2.261876037
3,1,0,3742,E01000001,City of London 001A,0.56,1.454259081,1.628997456,2.369172452
4,1,0,4308,E01000001,City of London 001A,0.4,1.880138659,1.590439977,2.990099352
5,1,0,4309,E01000001,City of London 001A,0.4,1.858437415,1.592242692,2.958947895
6,1,0,4310,E01000001,City of London 001A,0.49,1.84383181,1.585307344,2.923037155
7,1,0,4312,E01000001,City of London 001A,0.58,1.910425232,1.583757497,3.025660974
8,1,0,4317,E01000001,City of London 001A,0.46,1.738919852,1.607345517,2.79430325
9,1,0,4325,E01000001,City of London 001A,0.41,1.017965344,1.612660889,1.641632897
10,1,0,4326,E01000001,City of London 001A,0.36,1.161635315,1.623983791,1.886476922
11,1,0,4327,E01000001,City of London 001A,0.41,1.102677988,1.612975248,1.778592302
12,1,0,4328,E01000001,City of London 001A,0.4,1.415905983,1.614785135,2.286383933
13,1,0,4330,E01000001,City of London 001A,0.4,1.629836651,1.603209637,2.612969825
14,1,0,4333,E01000001,City of London 001A,0.43,1.414348789,1.620511031,2.291967814
15,1,0,4334,E01000001,City of London 001A,0.53,1.633763826,1.627762871,2.659185308
16,1,0,4335,E01000001,City of London 001A,0.59,1.518237598,1.628733152,2.472771564
17,1,0,4336,E01000001,City of London 001A,0.4,1.821975258,1.612981971,2.938770699
18,1,0,4337,E01000001,City of London 001A,0.41,1.547845098,1.617600935,2.503764858
19,1,0,4338,E01000001,City of London 001A,0.39,1.710343924,1.617992521,2.767323678
20,1,0,4339,E01000001,City of London 001A,0.53,1.701618635,1.62480017,2.764790248
21,1,0,4340,E01000001,City of London 001A,0.51,1.687731054,1.610709753,2.71844487
22,1,0,4341,E01000001,City of London 001A,0.43,1.659381679,1.620937211,2.689753511
23,1,0,4342,E01000001,City of London 001A,0.54,1.640513095,1.622019938,2.66094495
24,1,0,4343,E01000001,City of London 001A,0.54,1.679450433,1.618258163,2.717784372
25,1,0,4344,E01000001,City of London 001A,0.54,1.656427848,1.619469581,2.682534513
26,1,0,4345,E01000001,City of London 001A,0.57,1.663036395,1.608094013,2.67431887
27,1,0,4350,E01000001,City of London 001A,0.48,0.697685948,1.604008359,1.118420009
28,1,0,4351,E01000001,City of London 001A,0.39,0.961879994,1.624949404,1.563006322
29,1,0,4352,E01000001,City of London 001A,0.45,0.912937355,1.588901189,1.450567248
30,1,0,4353,E01000001,City of London 001A,0.42,0.845241298,1.557035016,1.316070298
31,1,0,4354,E01000001,City of London 001A,0.28,0.746644304,1.584412757,1.182992761
32,1,0,4355,E01000001,City of London 001A,0.31,0.702251711,1.622627396,1.139369646
33,1,0,4357,E01000001,City of London 001A,0.3,0.716639972,1.635131378,1.171711217
34,1,0,4358,E01000001,City of London 001A,0.4,0.815266538,1.56593252,1.276652384
35,1,0,4359,E01000001,City of London 001A,0.45,0.929724783,1.61831267,1.504585396
36,1,0,4918,E01000001,City of London 001A,0.34,0.964202604,1.615067629,1.557213838
37,1,0,4919,E01000001,City of London 001A,0.37,0.926969107,1.607398318,1.490008584
38,1,0,4920,E01000001,City of London 001A,0.37,0.840118949,1.594860283,1.34019487
39,1,0,4921,E01000001,City of London 001A,0.6,1.03531475,1.610943376,1.668280887
40,1,0,4922,E01000001,City of London 001A,0.54,1.090421032,1.627774651,1.774959715
41,1,0,4923,E01000001,City of London 001A,0.45,0.977459216,1.619070928,1.5825758
42,1,0,4924,E01000001,City of London 001A,0.45,1.026729341,1.62560987,1.669061351
43,1,0,4925,E01000001,City of London 001A,0.53,1.223422723,1.62584772,1.989099045
44,1,0,4926,E01000001,City of London 001A,0.54,1.224865899,1.63756918,2.005802646
45,1,0,4929,E01000001,City of London 001A,0.56,1.265141184,1.64282635,2.078407275
46,1,0,4930,E01000001,City of London 001A,0.45,1.12922936,1.631821479,1.842700725
47,1,0,4931,E01000001,City of London 001A,0.56,1.266017436,1.633085322,2.067514492
48,1,0,4932,E01000001,City of London 001A,0.32,1.204900464,1.641205985,1.977489852
49,1,0,4933,E01000001,City of London 001A,0.36,1.07797949,1.637083544,1.764742484
50,1,0,4934,E01000001,City of London 001A,0.38,1.027345485,1.628468675,1.672999942
51,1,0,4935,E01000001,City of London 001A,0.38,0.980458132,1.632993697,1.60108195
52,1,0,4936,E01000001,City of London 001A,0.66,0.904914647,1.629336106,1.474410106
53,1,0,4937,E01000001,City of London 001A,0.3,1.532647794,1.643048158,2.518214136
54,1,0,4939,E01000001,City of London 001A,0.54,1.45241379,1.642317043,2.38532392
55,1,0,4940,E01000001,City of London 001A,0.55,1.953961739,1.613790355,3.15321662
56,1,0,4941,E01000001,City of London 001A,0.4,0.817539905,1.538982594,1.258205303
57,1,0,4943,E01000001,City of London 001A,0.34,0.803155362,1.54231007,1.238714603
58,1,0,4944,E01000001,City of London 001A,0.34,0.742889562,1.549015011,1.150747084
59,1,0,4945,E01000001,City of London 001A,0.3,0.684709104,1.574042187,1.077761015
60,1,0,4946,E01000001,City of London 001A,0.42,0.72394663,1.575493136,1.140408156
61,1,0,4947,E01000001,City of London 001A,0.34,0.760714294,1.564336734,1.190013314
62,1,0,4948,E01000001,City of London 001A,0.38,0.698331607,1.589563838,1.110042669
63,1,0,4949,E01000001,City of London 001A,0.39,0.959639787,1.638757454,1.572616854
64,1,0,4950,E01000001,City of London 001A,0.36,0.805414274,1.590575491,1.28210776
65,1,0,4951,E01000001,City of London 001A,0.39,0.996386035,1.621036014,1.615177647
66,1,0,5607,E01000001,City of London 001A,0.5,1.184482929,1.510788837,1.789503586
67,1,0,5608,E01000001,City of London 001A,0.5,1.253476081,1.514059447,1.897837302
68,1,0,5631,E01000001,City of London 001A,0.5,0.960408373,1.494261328,1.435101091
69,1,0,5632,E01000001,City of London 001A,0.49,0.932095501,1.489897395,1.388726659
70,1,0,5633,E01000001,City of London 001A,0.61,0.946155562,1.464334988,1.385488693
71,1,0,5634,E01000001,City of London 001A,0.43,0.994341731,1.482307409,1.473920115
72,1,0,5635,E01000001,City of London 001A,0.35,0.916420534,1.519231231,1.392093426
73,1,0,5636,E01000001,City of London 001A,0.51,0.925571096,1.524853978,1.411360769
74,1,0,5637,E01000001,City of London 001A,0.54,0.956710052,1.576444207,1.508397101
75,1,0,5638,E01000001,City of London 001A,0.44,0.92948195,1.562379432,1.452593481
76,1,0,5639,E01000001,City of London 001A,0.47,0.872175559,1.521969591,1.3277124
77,1,0,5640,E01000001,City of London 001A,0.56,0.981635481,1.586348929,1.557216394
78,1,0,5641,E01000001,City of London 001A,0.49,1.011593063,1.5113877,1.528909313
79,1,0,5642,E01000001,City of London 001A,0.51,0.988785118,1.510448423,1.493508923
80,1,0,5643,E01000001,City of London 001A,0.52,0.9768156,1.559116024,1.522968856
81,1,0,5652,E01000001,City of London 001A,0.32,0.755657787,1.37627901,1.039995951
82,1,0,5654,E01000001,City of London 001A,0.46,0.757454227,1.526757086,1.156448608
83,1,0,6343,E01000001,City of London 001A,0.39,1.235111231,1.539477028,1.901422599
84,1,0,6344,E01000001,City of London 001A,0.54,1.29620077,1.544375308,2.002179682
85,1,0,6345,E01000001,City of London 001A,0.59,1.214198174,1.540014361,1.869911594
86,1,0,6346,E01000001,City of London 001A,0.46,1.160206129,1.537762372,1.784288111
87,1,0,6347,E01000001,City of London 001A,0.47,1.124129622,1.533087805,1.723407062
88,1,0,6349,E01000001,City of London 001A,0.5,1.140777258,1.533851842,1.74981405
89,1,0,6350,E01000001,City of London 001A,0.5,1.127016939,1.537065918,1.732340601
90,1,0,6352,E01000001,City of London 001A,0.58,1.379497022,1.518572078,2.094865658
91,1,0,6353,E01000001,City of London 001A,0.63,1.326118663,1.514194349,2.008001008
92,1,0,6354,E01000001,City of London 001A,0.56,1.278950908,1.507166148,1.927655699
93,1,0,6355,E01000001,City of London 001A,0.6,1.234687088,1.51421602,1.869603624
94,1,0,6356,E01000001,City of London 001A,0.51,1.21750061,1.521657487,1.852618919
95,1,0,6357,E01000001,City of London 001A,0.56,1.081105469,1.501611156,1.623361167
96,1,0,6358,E01000001,City of London 001A,0.55,1.202599988,1.532477599,1.842957541
97,1,0,6359,E01000001,City of London 001A,0.46,1.122523785,1.525200418,1.71208897
98,1,0,6360,E01000001,City of London 001A,0.47,1.079129571,1.517403981,1.637475507
99,1,0,6361,E01000001,City of London 001A,0.45,1.04070259,1.511333228,1.572947214
100,1,0,6362,E01000001,City of London 001A,0.4,1.096251909,1.525514059,1.672296914
101,1,0,6363,E01000001,City of London 001A,0.47,1.048422625,1.527243477,1.601112904
102,1,0,6364,E01000001,City of London 001A,0.46,1.033202014,1.526443633,1.577124635
103,1,0,6365,E01000001,City of London 001A,0.6,1.324625646,1.486552902,1.969126098
104,1,0,6366,E01000001,City of London 001A,0.49,1.282232184,1.469109981,1.8837401
105,1,0,6367,E01000001,City of London 001A,0.53,1.200679441,1.464608147,1.758524891
106,1,0,6369,E01000001,City of London 001A,0.48,1.143169246,1.466848206,1.676855758
107,1,0,6371,E01000001,City of London 001A,0.55,1.139480823,1.472639704,1.678038178
108,1,0,7168,E01000001,City of London 001A,0.41,1.490625878,1.547364667,2.306541816
109,1,0,7170,E01000001,City of London 001A,0.6,1.373625837,1.513017293,2.078332884
110,1,0,7173,E01000001,City of London 001A,0.57,1.974868273,1.495028911,2.952485164
111,1,0,7177,E01000001,City of London 001A,0.5,3.587137557,1.493549949,5.35767334
112,1,0,7178,E01000001,City of London 001A,0.42,3.865348766,1.476992611,5.709091566
113,1,0,7180,E01000001,City of London 001A,0.43,2.79633865,1.502286818,4.200902691
114,1,0,7181,E01000001,City of London 001A,0.39,2.358710262,1.474232231,3.477286691
115,1,0,7185,E01000001,City of London 001A,0.37,1.996221413,1.47585885,2.946141039
116,1,0,7187,E01000001,City of London 001A,0.6,1.579732564,1.481808103,2.340860515
117,1,0,7188,E01000001,City of London 001A,0.53,1.584865039,1.500328769,2.377805463
118,1,0,7189,E01000001,City of London 001A,0.63,1.443258289,1.498706194,2.163020137
119,1,0,7190,E01000001,City of London 001A,0.55,1.432013051,1.488562822,2.131494404
120,1,1,3758,E01000002,City of London 001B,0.53,0.802093495,1.620160696,1.30101407
121,1,1,3779,E01000002,City of London 001B,0.47,0.808122061,1.626407246,1.316011288
122,1,1,4346,E01000002,City of London 001B,0.44,0.694046429,1.620708293,1.12473053
123,1,1,4347,E01000002,City of London 001B,0.35,0.654270951,1.653949013,1.082130793
124,1,1,4348,E01000002,City of London 001B,0.35,0.641492309,1.614839395,1.035907052
125,1,1,4349,E01000002,City of London 001B,0.32,0.655578122,1.632401619,1.070166787
126,1,1,4350,E01000002,City of London 001B,0.48,0.697685948,1.604008359,1.118420009
127,1,1,4355,E01000002,City of London 001B,0.31,0.702251711,1.622627396,1.139369646
128,1,1,4356,E01000002,City of London 001B,0.27,0.646706965,1.624508971,1.050529601
129,1,1,4357,E01000002,City of London 001B,0.3,0.716639972,1.635131378,1.171711217
130,1,1,4365,E01000002,City of London 001B,0.41,0.74474809,1.628809531,1.213052787
131,1,1,4370,E01000002,City of London 001B,0.46,0.661784707,1.570248313,1.039166319
132,1,1,4371,E01000002,City of London 001B,0.53,0.680189607,1.576786468,1.072513768
133,1,1,4372,E01000002,City of London 001B,0.51,0.648164315,1.602235292,1.038511741
134,1,1,4373,E01000002,City of London 001B,0.49,0.683054963,1.614943317,1.103095048
135,1,1,4374,E01000002,City of London 001B,0.52,0.68150769,1.577271089,1.075090395
136,1,1,4375,E01000002,City of London 001B,0.49,0.631475688,1.605127806,1.01356127
137,1,1,4376,E01000002,City of London 001B,0.49,0.647289496,1.582085728,1.024076282
138,1,1,4377,E01000002,City of London 001B,0.28,0.647474496,1.600571391,1.036459981
139,1,1,4378,E01000002,City of London 001B,0.31,0.682495806,1.639589047,1.119012648
140,1,1,4379,E01000002,City of London 001B,0.31,0.687690567,1.640834664,1.12838652
141,1,1,4380,E01000002,City of London 001B,0.28,0.708130849,1.593007261,1.128057585
142,1,1,4381,E01000002,City of London 001B,0.48,0.690168262,1.59816086,1.102999903
143,1,1,4382,E01000002,City of London 001B,0.43,0.630421019,1.598661858,1.007830037
144,1,1,4383,E01000002,City of London 001B,0.54,0.633418146,1.624392454,1.028919656
145,1,1,4384,E01000002,City of London 001B,0.53,0.612934164,1.629887368,0.999013652
146,1,1,4385,E01000002,City of London 001B,0.48,0.562772965,1.64441241,0.925430847
147,1,1,4386,E01000002,City of London 001B,0.55,0.542319319,1.640341078,0.889588657
148,1,1,4387,E01000002,City of London 001B,0.55,0.565836814,1.673613816,0.94707651
149,1,1,4388,E01000002,City of London 001B,0.47,0.605591988,1.691174211,1.024161552
150,1,1,4389,E01000002,City of London 001B,0.49,0.643370417,1.680726999,1.081408286
151,1,1,4390,E01000002,City of London 001B,0.45,0.595252326,1.670858795,0.994582583
152,1,1,4391,E01000002,City of London 001B,0.38,0.57331566,1.65239842,0.947345891
153,1,1,4392,E01000002,City of London 001B,0.49,0.636139502,1.67568251,1.065727577
154,1,1,4396,E01000002,City of London 001B,0.52,0.629250489,1.653357925,1.040376283
155,1,1,4942,E01000002,City of London 001B,0.37,0.672175936,1.591287888,1.069625427
156,1,1,4944,E01000002,City of London 001B,0.34,0.742889562,1.549015011,1.150747084
157,1,1,4945,E01000002,City of London 001B,0.3,0.684709104,1.574042187,1.077761015
158,1,1,4946,E01000002,City of London 001B,0.42,0.72394663,1.575493136,1.140408156
159,1,1,4952,E01000002,City of London 001B,0.42,0.744128074,1.527370517,1.136559282
160,1,1,4953,E01000002,City of London 001B,0.42,0.71012752,1.52619296,1.083918611
161,1,1,4954,E01000002,City of London 001B,0.42,0.73690648,1.551704388,1.143461019
162,1,1,4955,E01000002,City of London 001B,0.42,0.730273994,1.560768301,1.139788501
163,1,1,4956,E01000002,City of London 001B,0.42,0.642684622,1.5849732,1.018382375
164,1,1,4957,E01000002,City of London 001B,0.42,0.725191663,1.556171324,1.128512087
165,1,1,4958,E01000002,City of London 001B,0.42,0.70348043,1.562792117,1.099394182
166,1,1,4959,E01000002,City of London 001B,0.47,0.710137512,1.574571735,1.117942915
167,1,1,4960,E01000002,City of London 001B,0.44,0.690950424,1.573222664,1.087018866
168,1,1,4961,E01000002,City of London 001B,0.44,0.685336841,1.600469347,1.096860607
169,1,1,4962,E01000002,City of London 001B,0.44,0.652881336,1.629674901,1.063978598
170,1,1,4963,E01000002,City of London 001B,0.32,0.691198435,1.598732144,1.105041156
171,1,1,4964,E01000002,City of London 001B,0.34,0.615536029,1.574674593,0.969268946
172,1,1,4965,E01000002,City of London 001B,0.31,0.644402915,1.56875581,1.01098671
