FID,Rail30,Rail25,Rail19,Rail16,Rail13,Road30,Road25,Road19,Road16,Road13,River30,River25,River19,River16,River13,Aviat30,RailF30,RailP30,ShipCom30,ShipPass30,ShipSmal30,RdCarD30,RdCarE30,RdCarP30,RdHGVA30,RdHGVR30,RdLGVD30,RdLGVE30,RdLGVP30,RdMoto30,RdCoach30,RdPHVD30,RdPHVE30,RdPHVP30,RdTaxi30,RdLTBus30,Aviat25,RailF25,RailP25,ShipCom25,ShipPass25,ShipSmal25,RdCarD25,RdCarE25,RdCarP25,RdHGVA25,RdHGVR25,RdLGVD25,RdLGVE25,RdLGVP25,RdMoto25,RdCoach25,RdPHVD25,RdPHVE25,RdPHVP25,RdTaxi25,RdLTBus25,Aviat19,RailF19,RailP19,ShipCom19,ShipPass19,ShipSmal19,RdCarD19,RdCarE19,RdCarP19,RdHGVA19,RdHGVR19,RdLGVD19,RdLGVE19,RdLGVP19,RdMoto19,RdCoach19,RdPHVD19,RdPHVE19,RdPHVP19,RdTaxi19,RdLTBus19,Aviat16,RailF16,RailP16,ShipCom16,ShipPass16,ShipSmal16,RdCarD16,RdCarE16,RdCarP16,RdHGVA16,RdHGVR16,RdLGVD16,RdLGVE16,RdLGVP16,RdMoto16,RdCoach16,RdTaxi16,RdLTBus16,Aviat13,RailF13,RailP13,ShipCom13,ShipPass13,ShipSmal13,RdCarD13,RdCarE13,RdCarP13,RdHGVA13,RdHGVR13,RdLGVD13,RdLGVE13,RdLGVP13,RdMoto13,RdCoach13,RdTaxi13,RdLTBus13,Shape_Area
0,817.3797096,769.9734182,769.9734183,901.6228177,730.1573928,3215.750419,4601.994131,6545.297906,10230.79276,10869.52801,4.95444,4.95444,4.95444,4.95444,4.95444,0,6.198463643,811.181246,0,0,4.95444,210.279887,0,766.0935191,94.42715281,310.9897359,400.402292,0,11.99781147,87.56784317,883.0355695,39.68149468,0,71.39962358,220.461155,119.4143349,0,6.149269487,763.8241487,0,0,4.95444,454.2604903,0,1179.929947,107.699498,340.194524,554.8765728,0,11.86521373,96.95960364,937.2452549,106.6100072,0,158.548365,366.856685,286.9479696,0,6.149269487,763.8241488,0,0,4.95444,931.1437359,0,1343.520628,122.4013775,420.5601157,637.2789916,0,8.991170309,101.8132204,1110.941191,232.5914933,0,315.3062574,679.1520996,641.5976244,0,2.312332741,899.310485,0,0,4.95444,1754.855133,0,2935.959353,177.2870693,560.5785207,1100.621543,0,15.80061736,127.2288782,2263.971135,452.6325617,841.8579466,0,1.218292796,728.9391,0,0,4.95444,1773.750311,0,3436.249383,178.1201432,559.050818,1053.592393,0,23.39062003,144.1946034,2275.529107,444.5779996,981.072634,0.999784083
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000889013
2,0,0,0,0,0,1759.37203,2742.335778,4306.590218,5917.992197,6253.002424,0,0,0,0,0,0,0,0,0,0,0,124.1414547,0,464.9204907,28.8133064,107.5116031,247.768843,0,7.484473898,63.7403663,251.6690709,33.25322074,0,61.2468814,322.3488326,46.47348623,0,0,0,0,0,0,272.3159678,0,723.6722279,34.59786268,125.97005,357.9154756,0,7.708931276,71.66485424,271.7130376,90.69158331,0,137.9977372,536.4140838,111.6739671,0,0,0,0,0,0,568.0058746,0,872.4741286,40.55419896,145.3538767,468.9325396,0,6.670508633,75.1682842,327.2142744,201.243288,0,288.2615239,1055.388233,257.3234873,0,0,0,0,0,0,926.129056,0,1495.236399,94.38740039,407.2560287,654.7264894,0,9.387062605,85.87563287,928.260639,833.4795781,483.2539104,0,0,0,0,0,0,935.1338589,0,1750.235405,94.45135443,403.9955655,630.3109759,0,13.98605978,97.10676598,927.5168448,796.385711,603.8798827,0.998903236
3,0,0,0,0,0,0,0,0,0,0,79.64347764,70.45628441,55.15633126,54.05659,44.10131,0,0,0,21.54298947,57.80256817,0.29792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.37432405,48.78404036,0.29792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.55842729,33.29998397,0.29792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.74032,36.01835,0.29792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.941,28.86239,0.29792,0,0,0,0,0,0,0,0,0,0,0,0,0.008787336
4,0.404623745,0.401412445,0.401412445,0.254012419,0.830866358,4535.362513,6072.068932,6731.348869,10507.74976,10501.92704,388.9192476,342.8015491,272.8138126,261.89597,214.17857,568.4748529,0.404623745,0,99.2326904,288.7303672,0.95619,213.0687073,0,795.2967423,408.073583,1243.641886,940.5126952,0,28.39385201,97.81142383,498.1031291,30.76256679,0,56.17582628,173.0547293,50.46737228,568.5136967,0.401412445,0,98.16355855,243.6818005,0.95619,463.5782458,0,1231.065663,463.4218066,1360.590536,1277.034191,0,27.51135098,107.5013463,534.367435,79.01953502,0,119.3189947,287.3887092,121.2711189,559.1669716,0.401412445,0,105.5204197,166.3372029,0.95619,794.1321217,0,1161.115704,471.1632824,1388.683058,1122.226195,0,15.87500363,93.29295259,592.8664134,147.8184974,0,201.2783233,461.3455795,281.5517374,2025.161196,0.254012419,0,81.02403,179.91575,0.95619,1687.750582,0,2748.997515,582.0483503,1810.585551,1754.808317,0,25.29636056,199.5541767,1114.425973,275.909252,308.3736819,1947.162011,0.830866358,0,69.05145,144.17093,0.95619,1605.806256,0,3028.607267,569.430645,1764.752023,1589.075724,0,35.43347675,214.7850919,1086.295903,266.3550593,341.3855944,0.990988148
5,0,0,0,0,0,1063.477683,1536.406384,2065.435152,1884.098719,2032.220226,0,0,0,0,0,0,0,0,0,0,0,62.38968,0,227.9649802,59.45571199,174.1537237,172.024239,0,5.177875098,30.27124655,162.1879025,13.59670362,0,24.60580802,79.943522,51.70628996,0,0,0,0,0,0,136.4784148,0,355.0173408,65.18772811,184.4308346,240.4481514,0,5.16345871,33.64485602,169.0265921,35.77385043,0,53.54434792,133.4426196,124.2481895,0,0,0,0,0,0,252.1747879,0,367.1376713,67.73756609,191.1063112,258.5342879,0,3.665840849,31.81319293,192.1027619,67.05347954,0,92.0052969,237.2065961,304.8973593,0,0,0,0,0,0,265.1686692,0,436.0184406,18.82187658,144.5735124,263.3092561,0,3.805135281,50.9416258,102.2110996,151.2964998,447.9526034,0,0,0,0,0,0,261.0298196,0,497.3283465,18.94080463,144.6240955,254.3278722,0,5.684355863,56.15239994,103.1777508,148.20386,542.7509206,0.208413871
6,67.25606226,64.3975536,64.3975536,58.62302537,20.63307677,3002.177087,4462.014353,6387.840262,8912.612902,9255.339226,0,0,0,0,0,0,21.17060705,46.08545521,0,0,0,178.1029635,0,685.8897215,54.97108505,246.1693634,591.9117775,0,18.02944272,92.05244656,570.0083798,47.27874059,0,89.19564655,339.1557492,89.4117706,0,21.00258636,43.39496724,0,0,0,380.4665365,0,1037.571519,62.42671053,273.7902514,836.619342,0,18.18399178,102.7959212,616.264159,127.3706311,0,198.7210333,592.9512743,214.8529827,0,21.00258636,43.39496724,0,0,0,790.3157146,0,1204.05751,68.38977084,296.9895962,1050.78159,0,14.95459166,106.4629852,689.5649699,260.5521009,0,369.7535066,1036.842233,499.1756925,0,21.29448346,37.32854192,0,0,0,1080.710386,0,1804.269168,231.7762267,670.4256541,862.9935035,0,12.48066163,86.40109323,2718.957418,665.0751621,779.523629,0,20.61618216,0.01689461,0,0,0,1085.453497,0,2096.022868,231.6073062,664.5524725,824.9729066,0,18.4438227,97.38079571,2715.789271,637.6936933,883.4225919,0.791385907
7,0,0,0,0,0,2241.555354,3319.324233,4643.751782,5977.737205,6389.168922,0,0,0,0,0,0,0,0,0,0,0,154.6371724,0,565.6988728,69.42927247,234.9725216,314.7697394,0,9.456370649,64.8512611,457.6727297,20.55770593,0,37.2338288,170.6414083,141.6344706,0,0,0,0,0,0,330.4512816,0,861.5606983,80.41707066,262.6576502,448.2370028,0,9.607501381,71.85838296,487.1602961,55.60292069,0,83.2297049,288.1996379,340.3420853,0,0,0,0,0,0,620.1853992,0,906.4601079,84.10496125,282.6864758,499.4656947,0,7.070557456,68.90237271,562.3991125,108.3401529,0,148.4967598,463.8920733,891.7481142,0,0,0,0,0,0,819.2835274,0,1361.708665,87.8156955,418.6578667,796.6727433,0,11.51805795,93.34267782,579.6194472,501.580537,1307.537988,0,0,0,0,0,0,805.69227,0,1550.98501,88.47247276,418.3785674,769.7885601,0,17.20907327,102.8951139,584.5917707,491.1732337,1559.982851,0.723896993
8,0,0,0,0,0,734.9728723,1125.808812,1469.830443,2234.262106,2352.744834,0,0,0,0,0,0,0,0,0,0,0,56.31731756,0,199.9001302,17.39055603,82.6974863,118.8842717,0,3.53874674,24.25018642,95.72472303,8.843557939,0,15.52806904,96.67993779,15.21788959,0,0,0,0,0,0,121.5378827,0,308.9212635,21.14403736,97.13575751,174.0447404,0,3.697430558,27.48509574,105.1759783,24.79965037,0,36.06554096,169.2334422,36.56799262,0,0,0,0,0,0,224.9767488,0,320.9993685,20.83237087,95.18260675,192.1709443,0,2.707785392,25.76396578,114.6920829,46.71445714,0,62.30619852,277.8393548,85.64455882,0,0,0,0,0,0,356.6638692,0,575.5658481,57.88447076,203.6299577,268.4331498,0,3.865072637,35.27733148,287.0822913,222.0415516,223.8185636,0,0,0,0,0,0,359.8080983,0,673.1703925,57.80839461,202.1119049,258.3102994,0,5.75539172,39.82417308,287.0417283,212.2687118,256.6457389,0.275895282
9,0,0,0,0,0,0,0,0,0,0,0.00799,0.00799,0.00799,0.00799,0.00799,0,0,0,0,0,0.00799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00799,0,0,0,0,0,0,0,0,0,0,0,0,0.000162916
