FID,Rail19,Rail16,Rail13,Road19,Road16,Road13,River19,River16,River13,Aviat30,RailF30,RailP30,ShipCom30,ShipPass30,ShipSmal30,RdCarD30,RdCarE30,RdCarP30,RdHGVA30,RdHGVR30,RdLGVD30,RdLGVE30,RdLGVP30,RdMoto30,RdCoach30,RdPHVD30,RdPHVE30,RdPHVP30,RdTaxi30,RdLTBus30,Aviat25,RailF25,RailP25,ShipCom25,ShipPass25,ShipSmal25,RdCarD25,RdCarE25,RdCarP25,RdHGVA25,RdHGVR25,RdLGVD25,RdLGVE25,RdLGVP25,RdMoto25,RdCoach25,RdPHVD25,RdPHVE25,RdPHVP25,RdTaxi25,RdLTBus25,Aviat19,RailF19,RailP19,ShipCom19,ShipPass19,ShipSmal19,RdCarD19,RdCarE19,RdCarP19,RdHGVA19,RdHGVR19,RdLGVD19,RdLGVE19,RdLGVP19,RdMoto19,RdCoach19,RdPHVD19,RdPHVE19,RdPHVP19,RdTaxi19,RdLTBus19,Aviat16,RailF16,RailP16,ShipCom16,ShipPass16,ShipSmal16,RdCarD16,RdCarE16,RdCarP16,RdHGVA16,RdHGVR16,RdLGVD16,RdLGVE16,RdLGVP16,RdMoto16,RdCoach16,RdTaxi16,RdLTBus16,Aviat13,RailF13,RailP13,ShipCom13,ShipPass13,ShipSmal13,RdCarD13,RdCarE13,RdCarP13,RdHGVA13,RdHGVR13,RdLGVD13,RdLGVE13,RdLGVP13,RdMoto13,RdCoach13,RdTaxi13,RdLTBus13,Rail30,River30,Road30,Rail25,River25,Road25,Shape_Area
0,1.97495012,3.091765025,1.51008104,16.52195941,42.27775963,49.26895659,0.06004,0.06004,0.06004,0,0.03860277,2.056726251,0,0,0.06004,0.372553964,0,0.320728732,0.046036633,0.267573897,0.622119709,0,0.003015215,0.04974781,0.716511658,0.062829241,0,0.025630367,0.482179755,0.080125299,0,0.038296399,1.936653721,0,0,0.06004,1.152290799,0,0.523129104,0.055435632,0.302310641,1.233692253,0,0.002502568,0.062289364,0.902299694,0.257012221,0,0.057478184,1.240418171,0.192537955,0,0.038296399,1.936653721,0,0,0.06004,3.845174997,0,0.806665809,0.212334801,0.973941083,2.852056764,0,0.004154007,0.093623213,3.167414574,0.905400815,0,0.107681219,3.070859486,0.482652645,0,0.01326815,3.078496875,0,0,0.06004,7.048764523,0,2.120776913,0.830236068,3.137854172,5.05311572,0,0.029541789,0.145328016,16.21765453,2.173535904,5.520951989,0,0.00534704,1.504734,0,0,0.06004,7.087833227,0,3.419871213,1.179223504,4.035129475,4.642949827,0,0.044358955,0.186540278,18.52075284,2.072509322,8.079787953,2.095329022,0.06004,3.049052278,1.97495012,0.06004,5.981396586,0.999784083
1,0,0,0,0.000304406,0.000379649,0.000429794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56E-05,0,2.54E-05,0,0,6.97E-05,0,1.32E-07,0,0,1.06E-05,0,1.25E-06,0.000121704,0,0,0,0,0,0,0,0.000105017,0,6.57E-05,0,0,0.00010561,0,6.30E-07,0,0,0.000102711,0,0,0,0,0,0,0,0.000106622,0,0.000124869,0,0,9.94E-05,0,1.27E-06,0,0,9.76E-05,0,0,0,0,0,0,0,0.000889013
2,0,0,0,11.45486917,23.97499582,28.03641465,0,0,0,0,0,0,0,0,0,0.2216481,0,0.187911355,0.015481174,0.099606122,0.386339577,0,0.001769793,0.034516745,0.29353572,0.051033934,0,0.02035573,0.640422833,0.030211054,0,0,0,0,0,0,0.697614909,0,0.315055013,0.0195056,0.121075732,0.80302342,0,0.001580763,0.043916943,0.357020052,0.2120748,0,0.046378818,1.64627709,0.07259598,0,0,0,0,0,0,2.260410776,0,0.475971259,0.090801236,0.397785128,1.902850417,0,0.002689956,0.064188832,1.129335579,0.72268901,0,0.083925718,4.026252372,0.297968882,0,0,0,0,0,0,3.908079822,0,1.185141478,0.437363381,2.206635,3.135258317,0,0.018748144,0.103428128,6.528081352,3.816667714,2.635592482,0,0,0,0,0,0,3.918366258,0,1.908551472,0.625375747,2.879475046,2.909519475,0,0.027859865,0.133070071,7.520924766,3.570640093,4.542631858,0,0,1.982832136,0,0,4.336119119,0.998903236
3,0,0,0,0.011215536,0.00938915,0.010777504,0.822777123,0.80854,0.68547,0,0,0,0.195955892,0.525544407,0.00237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244010199,0.557247443,0.00237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320939953,0.49946717,0.00237,0.003004589,0,0.00100825,0,0,0.004765021,0,9.05E-06,0,0,0.000486195,0,5.71E-05,0.001885335,0,0,0,0,0.26593,0.54024,0.00237,0.002755559,0,0.001723426,0,0,0.003980755,0,2.37E-05,0,0,0.000905672,0,0,0,0,0.23579,0.44731,0.00237,0.002793885,0,0.003272042,0,0,0.003827375,0,4.89E-05,0,0,0.000835289,0,0,0.723870299,0,0,0.803627642,0,0.008787336
4,0.001616013,0.001019542,0.005227866,17.6372232,39.96783503,46.29582173,4.100202113,3.9403,3.35052,2.025857905,0.001628941,0,0.902619683,2.649301388,0.00762,0.373239482,0,0.314061805,0.228533512,1.210784391,1.346604637,0,0.006268069,0.053006228,0.427453526,0.046374631,0,0.018370145,0.341301027,0.034260523,2.025829445,0.001616013,0,1.118690609,2.809118327,0.00762,1.161219339,0,0.51830687,0.275250748,1.370322111,2.614673802,0,0.005172222,0.06582205,0.546692721,0.181346672,0,0.039363108,0.872378724,0.082326696,1.963106702,0.001616013,0,1.574721735,2.517860378,0.00762,3.275372754,0,0.691276405,0.856285937,3.321146758,4.700404579,0,0.006701581,0.084281487,1.774337068,0.549400988,0,0.06531941,1.914903248,0.397792987,9.975589947,0.001019542,0,1.20928,2.7234,0.00762,7.054803673,0,2.08869165,2.607236401,9.937460114,7.843964946,0,0.044125527,0.217438145,8.002792848,1.21910222,0.952219509,10.01610177,0.005227866,0,1.08801,2.25489,0.00762,6.679078412,0,3.16206258,3.676989837,12.72725114,6.90651379,0,0.06197648,0.264613844,8.96587227,1.157009635,2.69445375,0.001628941,3.559541071,4.400257974,0.001616013,3.935428936,7.732875064,0.990988148
5,0,0,0,5.086571353,7.425274171,9.955168432,0,0,0,0,0,0,0,0,0,0.112236334,0,0.095122556,0.031540414,0.159010994,0.257909957,0,0.001205135,0.01656897,0.135360467,0.021352487,0,0.008491501,0.170987379,0.033907925,0,0,0,0,0,0,0.351549735,0,0.158182855,0.036549389,0.173867477,0.51635144,0,0.001027378,0.020817075,0.168139386,0.085494286,0,0.018614754,0.440325572,0.081479416,0,0,0,0,0,0,1.052889598,0,0.220261723,0.128771816,0.462986782,1.090911594,0,0.001557693,0.028049534,0.577484009,0.256280241,0,0.029779686,1.03300594,0.204592737,0,0,0,0,0,0,1.146009078,0,0.345242473,0.089900918,0.829296748,1.213234361,0,0.006585392,0.05219223,0.732127098,0.713301178,2.297384696,0,0,0,0,0,0,1.12586374,0,0.547858341,0.129553078,1.08208934,1.1422016,0,0.010133763,0.064164632,0.855068859,0.688510893,4.309724187,0,0,1.043694119,0,0,2.052398762,0.208413871
6,0.179948345,0.172398688,0.131524594,17.00868615,42.68127768,51.22325266,0,0,0,0,0.115418684,0.069503316,0,0,0,0.304396979,0,0.256908116,0.045513642,0.283518894,0.836664493,0,0.003753409,0.049235803,0.750245775,0.073042992,0,0.028724161,0.683490242,0.058103037,0,0.114502662,0.065445683,0,0,0,0.933107548,0,0.418015269,0.05367863,0.321514737,1.688676195,0,0.003251947,0.062220644,0.908114864,0.299694399,0,0.064545641,1.843215882,0.139619322,0,0.114502662,0.065445683,0,0,0,3.151527958,0,0.656921088,0.150090841,0.77147443,4.11050521,0,0.00572879,0.091450894,2.340146937,0.986066977,0,0.113622192,4.267815057,0.363335777,0,0.116102023,0.056296665,0,0,0,4.754097057,0,1.490630744,1.154362325,3.91824383,3.826542405,0,0.020564925,0.089644147,20.80419173,3.249855566,3.373144958,0,0.131499094,0.0000255,0,0,0,4.778428248,0,2.452129322,1.628208221,4.990184874,3.564421813,0,0.031704035,0.113330917,23.55868347,3.071763644,7.034398124,0.184921999,0,3.373597543,0.179948346,0,6.735655078,0.791385907
7,0,0,0,11.26528775,22.66414373,27.17881607,0,0,0,0,0,0,0,0,0,0.275276643,0,0.236182748,0.036113442,0.202679376,0.475703753,0,0.002281185,0.036347734,0.382354699,0.032118866,0,0.013004421,0.371366728,0.092523042,0,0,0,0,0,0,0.841967365,0,0.381657795,0.043962227,0.233266189,0.970738495,0,0.001959008,0.045538748,0.482195007,0.132292747,0,0.02935652,0.96707309,0.222329246,0,0,0,0,0,0,2.54696671,0,0.533156804,0.158229946,0.670181919,2.111756708,0,0.003021476,0.061901162,1.659950579,0.413069155,0,0.048779169,2.065064387,0.993209733,0,0,0,0,0,0,3.496951798,0,1.040288841,0.448262925,2.442634045,3.517248902,0,0.018876447,0.095618143,4.442860918,2.114118715,5.047282996,0,0,0,0,0,0,3.436524041,0,1.648209251,0.640625092,3.166783314,3.305897523,0,0.028927934,0.117525124,5.151968644,2.036352897,7.646002255,0,0,2.155952636,0,0,4.352336436,0.723896993
8,0,0,0,4.438731232,9.216085357,10.80218808,0,0,0,0,0,0,0,0,0,0.110251581,0,0.096956138,0.007536743,0.059810023,0.211752452,0,0.001020976,0.01423005,0.071523596,0.01515978,0,0.006324958,0.22582932,0.009692589,0,0,0,0,0,0,0.339963235,0,0.158499805,0.009754827,0.073846465,0.443833101,0,0.000901717,0.018201748,0.094150063,0.064532429,0,0.014733175,0.606027931,0.023290911,0,0,0,0,0,0,1.005931046,0,0.22220774,0.035265826,0.211277477,0.958415762,0,0.00144074,0.024309918,0.323562247,0.19481052,0,0.023754067,1.328769845,0.108986044,0,0,0,0,0,0,1.58670819,0,0.497480623,0.268967446,1.121255373,1.267343742,0,0.007272438,0.039348698,2.032891374,1.044833871,1.349983602,0,0,0,0,0,0,1.592040718,0,0.813141092,0.386081329,1.466917228,1.184673933,0,0.010879637,0.050260333,2.350746614,0.982227856,1.965219345,0,0,0.830088206,0,0,1.847735408,0.275895282
9,0,0,0,0.000142986,0.000179674,0.000185373,0.00006,0.00006,0.00006,0,0,0,0,0,0.00006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00006,1.67E-05,0,5.62E-06,0,0,7.59E-05,0,1.44E-07,0,0,6.37E-06,0,7.48E-07,3.75E-05,0,0,0,0,0,0,0.00006,3.75E-05,0,2.34E-05,0,0,9.37E-05,0,5.59E-07,0,0,2.45E-05,0,0,0,0,0,0,0.00006,3.69E-05,0,4.32E-05,0,0,8.39E-05,0,1.07E-06,0,0,2.03E-05,0,0,0.00006,0,0,0.00006,0,0.000162916
