FID,Rail30,Rail25,Rail19,Rail16,Rail13,Road30,Road25,Road19,Road16,Road13,River30,River25,River19,River16,River13,Aviat30,RailF30,RailP30,ShipCom30,ShipPass30,ShipSmal30,RdCarD30,RdCarE30,RdCarP30,RdHGVA30,RdHGVR30,RdLGVD30,RdLGVE30,RdLGVP30,RdMoto30,RdCoach30,RdPHVD30,RdPHVE30,RdPHVP30,RdTaxi30,RdLTBus30,Aviat25,RailF25,RailP25,ShipCom25,ShipPass25,ShipSmal25,RdCarD25,RdCarE25,RdCarP25,RdHGVA25,RdHGVR25,RdLGVD25,RdLGVE25,RdLGVP25,RdMoto25,RdCoach25,RdPHVD25,RdPHVE25,RdPHVP25,RdTaxi25,RdLTBus25,Aviat19,RailF19,RailP19,ShipCom19,ShipPass19,ShipSmal19,RdCarD19,RdCarE19,RdCarP19,RdHGVA19,RdHGVR19,RdLGVD19,RdLGVE19,RdLGVP19,RdMoto19,RdCoach19,RdPHVD19,RdPHVE19,RdPHVP19,RdTaxi19,RdLTBus19,Aviat16,RailF16,RailP16,ShipCom16,ShipPass16,ShipSmal16,RdCarD16,RdCarE16,RdCarP16,RdHGVA16,RdHGVR16,RdLGVD16,RdLGVE16,RdLGVP16,RdMoto16,RdCoach16,RdTaxi16,RdLTBus16,Aviat13,RailF13,RailP13,ShipCom13,ShipPass13,ShipSmal13,RdCarD13,RdCarE13,RdCarP13,RdHGVA13,RdHGVR13,RdLGVD13,RdLGVE13,RdLGVP13,RdMoto13,RdCoach13,RdTaxi13,RdLTBus13,Shape_Area
0,0.074296572,0.070007779,0.070007779,0.08920352,0.071617473,1.125877125,1.371980176,1.989516174,3.194639198,3.494532153,0.00236,0.00236,0.00236,0.00236,0.00236,0,0.000964857,0.073331715,0,0,0.00236,0.07682674,0.078597375,0.235483456,0.018709092,0.091462426,0.158016422,0.036450466,0.005418173,0.026432723,0.155589298,0.01407694,0.038810047,0.009019352,0.054769669,0.126214945,0,0.0009572,0.069050579,0,0,0.00236,0.168189896,0.029891803,0.353536322,0.019814455,0.096015107,0.219197158,0.005478776,0.004361529,0.026972739,0.15978861,0.037710013,0.02400971,0.020965114,0.07857108,0.127477864,0,0.0009572,0.069050579,0,0,0.00236,0.368391908,0.004079582,0.407074219,0.02428326,0.124928019,0.265317701,0.00155702,0.002726546,0.029119132,0.211431148,0.080905321,0.001693886,0.123216774,0.196977889,0.147813769,0,0.000349355,0.088854165,0,0,0.00236,0.692264126,0.002127805,0.775283188,0.038866775,0.192588709,0.513082983,0.000619578,0.004853772,0.039805508,0.514570703,0.209388319,0.211187734,0,0.000200703,0.07141677,0,0,0.00236,0.749218029,0.000445356,0.865829243,0.042441876,0.207036874,0.572526308,0.00020286,0.007217132,0.047255384,0.566582845,0.232008396,0.20376785,0.999784083
1,0,0,0,0,0,0,0,2.12E-05,4.55E-05,6.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85E-06,0,0,0,0,4.33E-06,0,0,0,0,3.64E-07,0,0,8.66E-06,0,0,0,0,0,0,0,1.41E-05,0,0,0,0,1.27E-05,0,0,0,0,1.86E-05,0,0,0,0,0,0,0,2.00E-05,0,0,0,0,1.97E-05,0,0,0,0,2.23E-05,0,0.000889013
2,0,0,0,0,0,0.603325667,0.776768722,1.183873029,1.998327051,2.166935151,0,0,0,0,0,0,0,0,0,0,0,0.042504259,0.042637334,0.12788469,0.00548239,0.029523775,0.090298997,0.020573183,0.003057801,0.017923144,0.038074792,0.011055426,0.030399277,0.007083338,0.071583914,0.065243347,0,0,0,0,0,0,0.09524912,0.016509254,0.195441505,0.006114094,0.033185114,0.131706822,0.003247709,0.002585034,0.018596487,0.039848884,0.030125651,0.019133419,0.016746979,0.102541292,0.065737356,0,0,0,0,0,0,0.207646534,0.002171137,0.216805922,0.007175567,0.037918101,0.164201304,0.000913923,0.001600467,0.019250906,0.048465337,0.061886524,0.001290357,0.093975631,0.24467995,0.075891368,0,0,0,0,0,0,0.386789565,0.001183192,0.430987326,0.020548393,0.1453665,0.322754843,0.000409421,0.003206953,0.029045033,0.217000017,0.319802384,0.121233425,0,0,0,0,0,0,0.418375527,0.000247006,0.480086028,0.022394241,0.155182838,0.354955675,0.000134734,0.004792882,0.034329765,0.237796066,0.335824639,0.122815748,0.998903236
3,0,0,0,0,0,0,0,0.000758891,0.001013327,0.00147479,0.029829558,0.028433253,0.023900259,0.02354,0.02653,0,0,0,0.008192173,0.021517384,0.00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008728132,0.019585121,0.00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009339127,0.014441132,0.00012,0.000312205,0,0,0,0,0.000295882,0,0,0,0,1.66E-05,0,0,0.000134192,0,0,0,0,0.0078,0.01562,0.00012,0.000370298,0,0,0,0,0.000478646,0,0,0,0,0.000164383,0,0,0,0,0.00875,0.01766,0.00012,0.000525126,0,0,0,0,0.000758438,0,0,0,0,0.000191226,0,0.008787336
4,0.000147786,0.000146613,0.000146613,0.0000902,0.000133446,1.458300141,1.716903784,2.037078494,3.400115922,3.570417321,0.144602753,0.137477756,0.117644457,0.11335,0.12816,0.009726299,0.000147786,0,0.039213178,0.104989575,0.0004,0.072518743,0.073443627,0.220299153,0.075600685,0.343490088,0.336316524,0.077728643,0.011552696,0.027278915,0.074450563,0.010233512,0.028448948,0.006630549,0.038476996,0.0618305,0.009728503,0.000146613,0,0.041516252,0.095561504,0.0004,0.159945778,0.028075737,0.332402694,0.079614511,0.360144255,0.456475873,0.011434342,0.009101181,0.02758909,0.077287035,0.026200382,0.016824841,0.014730885,0.054713246,0.062363932,0.009824649,0.000146613,0,0.0467954,0.070449057,0.0004,0.311799786,0.003389287,0.338232087,0.090518483,0.405442762,0.434781138,0.002592046,0.004538804,0.026033086,0.100256562,0.050163918,0.001065629,0.077520171,0.120147184,0.070597552,0.050972366,0.0000902,0,0.03675,0.0762,0.0004,0.67318915,0.002057928,0.749873885,0.125588775,0.574398401,0.781052963,0.000999686,0.007829982,0.059868571,0.248510607,0.101382244,0.07536373,0.048594695,0.000133446,0,0.04158,0.08618,0.0004,0.68743542,0.000406329,0.789843968,0.13398697,0.607273815,0.805949632,0.000310839,0.011057199,0.067663197,0.267021741,0.107847104,0.091621107,0.990988148
5,0,0,0,0,0,0.397463846,0.474486814,0.616334021,0.597509216,0.647959369,0,0,0,0,0,0,0,0,0,0,0,0.022024099,0.022307791,0.066899553,0.010923479,0.048067838,0.063803678,0.014697572,0.002184394,0.008623042,0.025111289,0.004623781,0.012725027,0.002965883,0.018535563,0.073970858,0,0,0,0,0,0,0.048962122,0.008593544,0.101720428,0.011118394,0.04881443,0.089411295,0.002231619,0.001776142,0.00882916,0.025275645,0.012115176,0.00769977,0.006741989,0.026674843,0.074522257,0,0,0,0,0,0,0.098051373,0.001057528,0.105573202,0.012424423,0.053180673,0.098901828,0.000576982,0.001010164,0.008549543,0.031656046,0.022160443,0.000463363,0.03373918,0.064973523,0.08401575,0,0,0,0,0,0,0.107337151,0.00030966,0.112879225,0.004133454,0.045054657,0.120173193,0.00014003,0.001096765,0.014001205,0.023264455,0.066661403,0.102458018,0,0,0,0,0,0,0.115377509,6.32E-05,0.122792852,0.004537688,0.049011192,0.136897329,4.62E-05,0.001643531,0.016159386,0.025831488,0.074466531,0.101132498,0.208413871
6,0.005122839,0.005031968,0.005031967,0.004731165,0.003286991,0.98109911,1.211356474,1.791660425,2.565011974,2.846462299,0,0,0,0,0,0,0.004127395,0.000995444,0,0,0,0.058662575,0.059074382,0.177170155,0.009925621,0.066641506,0.19468924,0.044505511,0.006615656,0.025095755,0.084172342,0.015164969,0.041153452,0.009599399,0.072260717,0.11636783,0,0.004094638,0.000937329,0,0,0,0.127867679,0.022287546,0.263841148,0.010458543,0.071136694,0.274877032,0.006803144,0.005416079,0.025851006,0.087975833,0.04076788,0.025542644,0.022380319,0.108825118,0.11732581,0,0.004094638,0.000937329,0,0,0,0.289081481,0.003068513,0.306417939,0.012251503,0.080003679,0.355796551,0.002018246,0.003534272,0.027249051,0.108169982,0.08210897,0.001688406,0.123004158,0.264092761,0.133174912,0,0.00392487,0.000806295,0,0,0,0.45103154,0.001227987,0.447653537,0.048568592,0.204942696,0.376162495,0.000430097,0.00336879,0.024321569,0.514059881,0.324120934,0.169123857,0,0.003286626,0.000000365,0,0,0,0.504489373,0.000256573,0.498816939,0.053249464,0.221629325,0.429547075,0.000141415,0.0050304,0.028768303,0.574423612,0.359711383,0.170398437,0.791385907
7,0,0,0,0,0,0.868129526,1.047253975,1.355396759,1.739311419,1.891002495,0,0,0,0,0,0,0,0,0,0,0,0.055983822,0.057058719,0.17098277,0.013249666,0.066442367,0.120385599,0.027793766,0.00413125,0.019172154,0.075876279,0.007148476,0.019727734,0.004588169,0.040304418,0.185284337,0,0,0,0,0,0,0.121350312,0.021464696,0.253906386,0.014264865,0.07130248,0.171945253,0.004302108,0.003424629,0.019576797,0.077984867,0.019279013,0.012287552,0.01073721,0.05863042,0.186797386,0,0,0,0,0,0,0.241008834,0.002638394,0.263318907,0.015761236,0.078920684,0.193373667,0.001137328,0.001991479,0.019026049,0.098560327,0.036643699,0.000768321,0.055905587,0.130872802,0.215469445,0,0,0,0,0,0,0.322867381,0.000932143,0.33984472,0.018208195,0.128662307,0.344863706,0.000408317,0.00319817,0.025665188,0.115481935,0.176428592,0.262750763,0,0,0,0,0,0,0.346874567,0.000190129,0.369656979,0.02017828,0.140055396,0.390672716,0.000134813,0.004795496,0.029622627,0.130040259,0.192132486,0.266648748,0.723896993
8,0,0,0,0,0,0.30302953,0.386419136,0.519373953,0.752739384,0.819599019,0,0,0,0,0,0,0,0,0,0,0,0.022430249,0.022474135,0.067283903,0.003627106,0.024828967,0.051000388,0.01160721,0.001725353,0.007729753,0.017703168,0.003385618,0.009205141,0.002134398,0.025463982,0.03243016,0,0,0,0,0,0,0.049277676,0.008515703,0.100651144,0.004082317,0.027823363,0.074884882,0.001843846,0.001467837,0.00805236,0.018766138,0.009415346,0.00590858,0.005149387,0.037986402,0.032594154,0,0,0,0,0,0,0.099264229,0.00102484,0.102221966,0.004202516,0.027812636,0.087259309,0.000483309,0.000846352,0.007690114,0.02221864,0.017523692,0.000360912,0.026225085,0.086367151,0.0358732,0,0,0,0,0,0,0.156041584,0.000445801,0.162420919,0.012818923,0.067656799,0.128282125,0.000161094,0.001261707,0.010986723,0.06675792,0.089689069,0.05621672,0,0,0,0,0,0,0.172245776,9.31E-05,0.180936166,0.01397203,0.072693027,0.14162685,5.30E-05,0.001885941,0.012983608,0.073365268,0.095197831,0.054546416,0.275895282
9,0,0,0,0,0,0,0,9.34E-06,2.07E-05,2.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74E-06,0,0,0,0,4.71E-06,0,0,0,0,2.18E-07,0,0,2.67E-06,0,0,0,0,0,0,0,5.04E-06,0,0,0,0,1.13E-05,0,0,0,0,4.45E-06,0,0,0,0,0,0,0,6.93E-06,0,0,0,0,1.66E-05,0,0,0,0,4.66E-06,0,0.000162916
