FID,Rail30,Rail25,Rail19,Rail16,Rail13,Road30,Road25,Road19,Road16,Road13,River30,River25,River19,River16,River13,Aviat30,RailF30,RailP30,ShipCom30,ShipPass30,ShipSmal30,RdCarD30,RdCarE30,RdCarP30,RdHGVA30,RdHGVR30,RdLGVD30,RdLGVE30,RdLGVP30,RdMoto30,RdCoach30,RdPHVD30,RdPHVE30,RdPHVP30,RdTaxi30,RdLTBus30,Aviat25,RailF25,RailP25,ShipCom25,ShipPass25,ShipSmal25,RdCarD25,RdCarE25,RdCarP25,RdHGVA25,RdHGVR25,RdLGVD25,RdLGVE25,RdLGVP25,RdMoto25,RdCoach25,RdPHVD25,RdPHVE25,RdPHVP25,RdTaxi25,RdLTBus25,Aviat19,RailF19,RailP19,ShipCom19,ShipPass19,ShipSmal19,RdCarD19,RdCarE19,RdCarP19,RdHGVA19,RdHGVR19,RdLGVD19,RdLGVE19,RdLGVP19,RdMoto19,RdCoach19,RdPHVD19,RdPHVE19,RdPHVP19,RdTaxi19,RdLTBus19,Aviat16,RailF16,RailP16,ShipCom16,ShipPass16,ShipSmal16,RdCarD16,RdCarE16,RdCarP16,RdHGVA16,RdHGVR16,RdLGVD16,RdLGVE16,RdLGVP16,RdMoto16,RdCoach16,RdTaxi16,RdLTBus16,Aviat13,RailF13,RailP13,ShipCom13,ShipPass13,ShipSmal13,RdCarD13,RdCarE13,RdCarP13,RdHGVA13,RdHGVR13,RdLGVD13,RdLGVE13,RdLGVP13,RdMoto13,RdCoach13,RdTaxi13,RdLTBus13,Shape_Area
0,0.055350946,0.052155795,0.052155795,0.066456623,0.053355013,0.549547256,0.661102308,1.013044714,1.765050476,2.018413279,0.00236,0.00236,0.00236,0.00236,0.00236,0,0.000718819,0.054632127,0,0,0.00236,0.037579574,0.047571284,0.114828617,0.008884208,0.040448333,0.074686168,0.018476683,0.002626998,0.013794075,0.06965109,0.006861208,0.023489902,0.005724906,0.030588309,0.054335901,0,0.000713114,0.051442681,0,0,0.00236,0.084100731,0.018092098,0.169015157,0.009442976,0.042578484,0.104061823,0.002777183,0.002063893,0.014385162,0.072172608,0.018405173,0.014531951,0.013163165,0.040776231,0.055535674,0,0.000713114,0.051442681,0,0,0.00236,0.208248317,0.001844699,0.189939836,0.012335576,0.058637185,0.141952852,0.000704912,0.001252876,0.01600752,0.103840325,0.040004631,0.000765939,0.057586386,0.114021915,0.065901744,0,0.00026027,0.066196353,0,0,0.00236,0.402150685,0.000962683,0.361858356,0.021225179,0.094369637,0.303350882,0.000280607,0.002249404,0.02269422,0.287044225,0.153733792,0.115130807,0,0.000149523,0.05320549,0,0,0.00236,0.463785125,0.000201501,0.404621565,0.024495404,0.10725134,0.367749879,9.19E-05,0.003350435,0.02891162,0.334613185,0.175982894,0.107358454,0.999784083
1,0,0,0,0,0,0,0,2.01E-05,4.32E-05,5.90E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46E-06,0,0,0,0,4.11E-06,0,0,0,0,3.46E-07,0,0,8.23E-06,0,0,0,0,0,0,0,1.34E-05,0,0,0,0,1.21E-05,0,0,0,0,1.77E-05,0,0,0,0,0,0,0,1.90E-05,0,0,0,0,1.87E-05,0,0,0,0,2.12E-05,0,0.000889013
2,0,0,0,0,0,0.303009807,0.382666676,0.623428766,1.108223807,1.255635817,0,0,0,0,0,0,0,0,0,0,0,0.02117206,0.025806341,0.062424793,0.002608669,0.013085021,0.043210376,0.010428491,0.001482431,0.009353268,0.017165051,0.005401959,0.01839923,0.004501914,0.039940676,0.028029526,0,0,0,0,0,0,0.048688518,0.009992263,0.09352073,0.002920376,0.014751644,0.063368068,0.001646255,0.001223056,0.009917885,0.018144313,0.014737728,0.011580545,0.010527572,0.053148889,0.028498834,0,0,0,0,0,0,0.121839256,0.000981742,0.101239728,0.003693309,0.017974222,0.091366541,0.000413762,0.000735465,0.010582708,0.024537583,0.030716715,0.000583472,0.043974527,0.140825412,0.033964323,0,0,0,0,0,0,0.225321079,0.000535083,0.201022693,0.011250909,0.070991174,0.184955226,0.00018539,0.00148571,0.016548247,0.121250822,0.210078847,0.064598625,0,0,0,0,0,0,0.259867692,0.000111706,0.224197894,0.012971365,0.080063587,0.22018911,6.10E-05,0.002224264,0.020986389,0.140762035,0.229306536,0.06489423,0.998903236
3,0,0,0,0,0,0,0,0.000720946,0.000962661,0.001401051,0.02834408,0.027017591,0.022712171,0.02237,0.02521,0,0,0,0.007782565,0.020441515,0.00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008291725,0.018605865,0.00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008872171,0.01372,0.00012,0.000296594,0,0,0,0,0.000281088,0,0,0,0,1.58E-05,0,0,0.000127482,0,0,0,0,0.00741,0.01484,0.00012,0.000351783,0,0,0,0,0.000454713,0,0,0,0,0.000156164,0,0,0,0,0.00831,0.01678,0.00012,0.00049887,0,0,0,0,0.000720516,0,0,0,0,0.000181664,0,0.008787336
4,0.0001101,0.000109227,0.000109227,0.0000672,0.0000994,0.702222059,0.819247036,1.033234581,1.824759389,2.019526464,0.137392616,0.130623869,0.11177905,0.1077,0.12177,0.009726299,0.0001101,0,0.037252519,0.099740097,0.0004,0.03580847,0.044451935,0.107542651,0.036037048,0.152363867,0.158651018,0.039400462,0.005600717,0.014235632,0.033707273,0.004948401,0.017218799,0.004214661,0.021454651,0.026586474,0.009728503,0.000109227,0,0.03944044,0.090783429,0.0004,0.080866455,0.016992908,0.159074234,0.038106379,0.160241077,0.216234577,0.005796041,0.004306016,0.014713841,0.035366562,0.012683676,0.010183278,0.009261671,0.028327085,0.027093234,0.009824649,0.000109227,0,0.044452447,0.066926604,0.0004,0.178466953,0.001532569,0.157837117,0.046183966,0.190604774,0.229755825,0.001173507,0.002085534,0.014311251,0.050176821,0.024469981,0.000481857,0.03623188,0.068105501,0.031817043,0.050972366,0.0000672,0,0.03491,0.07239,0.0004,0.392315685,0.000930636,0.349870286,0.068833791,0.28499046,0.444920164,0.000452639,0.003627009,0.034101008,0.140522655,0.067857851,0.036337205,0.048594695,0.0000994,0,0.0395,0.08187,0.0004,0.426723215,0.000183755,0.368892023,0.077689005,0.319929853,0.495674439,0.000140746,0.005131089,0.041356363,0.160110266,0.074831963,0.048863746,0.990988148
5,0,0,0,0,0,0.192070255,0.227380174,0.314735215,0.340572235,0.386637648,0,0,0,0,0,0,0,0,0,0,0,0.010873828,0.01350184,0.032651507,0.005207832,0.021314219,0.030198678,0.00745016,0.001058948,0.004499971,0.011332895,0.002257459,0.007701851,0.001885267,0.010361531,0.03177427,0,0,0,0,0,0,0.024756871,0.005201262,0.048668342,0.005322346,0.021710987,0.042507723,0.001131202,0.000840284,0.004708771,0.011525977,0.005923095,0.004660303,0.004239013,0.013885901,0.032298098,0,0,0,0,0,0,0.056410465,0.000478191,0.049284161,0.006392213,0.025139777,0.053157586,0.000261218,0.000464079,0.004699899,0.015909525,0.010970605,0.000209523,0.015784301,0.038499202,0.037074469,0,0,0,0,0,0,0.064769393,0.000140025,0.052684573,0.002271438,0.022469404,0.072547839,6.34E-05,0.000507994,0.007971431,0.013143041,0.049308362,0.054695338,0,0,0,0,0,0,0.074422699,2.86E-05,0.057353076,0.002640529,0.026021549,0.089917727,2.09E-05,0.00076257,0.009870575,0.015492139,0.057010991,0.053096313,0.208413871
6,0.003816515,0.003748816,0.003748815,0.003524718,0.002448808,0.484381702,0.59061464,0.939152222,1.503018211,1.757062177,0,0,0,0,0,0,0.003074909,0.000741606,0,0,0,0.029118008,0.035754901,0.08647568,0.004737157,0.029555273,0.0928561,0.022559724,0.003207652,0.013096325,0.038043385,0.007501583,0.024908218,0.006104248,0.040443744,0.050019706,0,0.003050505,0.00069831,0,0,0,0.065046665,0.013489587,0.12624805,0.005012672,0.031643994,0.131775117,0.003448496,0.002563019,0.013786868,0.040179409,0.020197837,0.015459742,0.014076387,0.056757011,0.050929786,0,0.003050505,0.00069831,0,0,0,0.16802777,0.001387516,0.143085774,0.006313091,0.037880975,0.195293892,0.000913724,0.001624064,0.014979489,0.054421753,0.041267329,0.000763461,0.057576793,0.156761525,0.058855066,0,0.002924028,0.00060069,0,0,0,0.280958018,0.000555292,0.208947494,0.026959352,0.102278566,0.229531921,0.000194724,0.001560416,0.013849055,0.3017835,0.249381007,0.087018865,0,0.002448536,0.000000272,0,0,0,0.33633438,0.000116022,0.232990092,0.031325137,0.117664476,0.285231784,6.40E-05,0.00233409,0.017574938,0.358286041,0.285372338,0.089768854,0.791385907
7,0,0,0,0,0,0.418695724,0.50018959,0.689689017,0.976403135,1.113278175,0,0,0,0,0,0,0,0,0,0,0,0.027481195,0.034534916,0.08338997,0.006306328,0.029421233,0.056850541,0.014088585,0.002002958,0.010005069,0.034096452,0.003480935,0.011940255,0.002913373,0.0225456,0.079638314,0,0,0,0,0,0,0.060938458,0.012991555,0.121402877,0.006815659,0.031664733,0.081545759,0.002180727,0.001620455,0.010440704,0.035385631,0.009400222,0.007437068,0.006743972,0.030546059,0.081075711,0,0,0,0,0,0,0.137301028,0.001193025,0.122888713,0.008084366,0.037265203,0.103283036,0.000514904,0.000915041,0.010459098,0.049013835,0.018094444,0.000347418,0.026135809,0.077640145,0.096552951,0,0,0,0,0,0,0.194739169,0.000421497,0.158640046,0.010190702,0.064325321,0.206267873,0.000184859,0.001481334,0.014611502,0.067727753,0.120989219,0.136823861,0,0,0,0,0,0,0.223610988,8.60E-05,0.172663562,0.011993323,0.074590493,0.254033772,6.10E-05,0.002225025,0.01809337,0.081152334,0.136869199,0.137899103,0.723896993
8,0,0,0,0,0,0.150079286,0.188497823,0.274274488,0.420432246,0.479663673,0,0,0,0,0,0,0,0,0,0,0,0.011184736,0.01360252,0.032786203,0.001718062,0.01096411,0.024430677,0.005883663,0.000836534,0.004033804,0.007902759,0.001671806,0.005571432,0.001353247,0.014238302,0.013901431,0,0,0,0,0,0,0.025253726,0.005154148,0.048087003,0.00194047,0.012322394,0.036080914,0.000934641,0.00069458,0.004294487,0.008450858,0.004657797,0.003576181,0.003229888,0.019763511,0.014057225,0,0,0,0,0,0,0.05869826,0.00046341,0.047677216,0.0021295,0.013066002,0.048720909,0.000218809,0.000388914,0.004227449,0.010894229,0.008794811,0.000163197,0.012242797,0.05071072,0.015878266,0,0,0,0,0,0,0.094684131,0.00020159,0.075767295,0.007027558,0.033404136,0.073992365,7.29E-05,0.000584388,0.006256403,0.037483061,0.060900667,0.030057717,0,0,0,0,0,0,0.111776525,4.21E-05,0.084492938,0.008102895,0.038067086,0.088491499,2.40E-05,0.000875051,0.007932388,0.043678251,0.067165207,0.029015734,0.275895282
9,0,0,0,0,0,0,0,8.87E-06,1.97E-05,2.68E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65E-06,0,0,0,0,4.48E-06,0,0,0,0,2.07E-07,0,0,2.53E-06,0,0,0,0,0,0,0,4.79E-06,0,0,0,0,1.07E-05,0,0,0,0,4.22E-06,0,0,0,0,0,0,0,6.58E-06,0,0,0,0,1.58E-05,0,0,0,0,4.42E-06,0,0.000162916
