FID,OBJECTID,grid_id,borough,laei_zone,Area,CO2_km2,NOx_km2,PM10_km2,PM25_km2,score_perc,accessibility,WDI,HSA
114,3447,3447,City of Westminster,Inner,0.001819004,1073727.082,3810.373526,326.8490836,173.4108734,0.516666667,0.884871778,1.295203638,1.144627451
123,3456,3456,Southwark,Inner,0.011854614,906059.3961,2540.477831,226.4157304,115.7802197,0.537647059,0.301978358,1.60735877,0.483084581
108,3441,3441,City,Inner,0.002442954,881592.4286,2291.625804,222.5714295,117.8493439,0.532857143,1.228452091,1.569597364,1.925231781
80,3413,3413,City,Inner,0.02575501,592653.3089,2190.477796,129.0356446,71.16785873,0.491428571,0.787346128,1.669260203,1.311050005
110,3443,3443,Southwark,Inner,0.018993769,674740.0944,1991.632,194.2901046,99.94171976,0.5185,0.305450531,1.565941082,0.474494932
117,3450,3450,City of Westminster,Inner,0.023385055,501979.9229,1923.536269,122.5725243,66.69140801,0.516521739,1.100725292,1.462226698,1.61188782
105,3438,3438,City,Central,0.277941502,287064.2962,1870.789598,93.08740058,68.71007731,0.471681416,1.05567495,1.552255598,1.631428473
41,3374,3374,City of Westminster,Inner,0.019277247,328171.8187,1454.196662,124.4170943,70.83061511,0.437,0.300054025,1.558629299,0.466616487
40,3373,3373,City,Central,0.427511182,235305.2464,1438.161193,76.36802183,54.01654821,0.469820789,1.529565888,1.461922818,2.218436649
75,3408,3408,Islington,Inner,0.041498042,532566.2552,1377.5192,132.4964329,68.85296365,0.506949153,0.726650602,1.745514981,1.25520114
57,3390,3390,Islington,Inner,0.012660876,448127.9375,1352.569432,147.9824307,76.86675412,0.548888889,0.756109752,1.773973699,1.339855768
47,3380,3380,Tower Hamlets,Central,0.146206205,145016.4821,1205.58288,55.33435998,44.30144594,0.490727273,0.599717927,1.607073578,0.966890214
34,3367,3367,Hackney,Central,6.68E-05,390634.6793,1140.357725,132.9340764,71.91980877,0.46,1.398220187,1.596724103,2.231110452
42,3375,3375,City of Westminster,Central,0.247691306,143807.2813,1124.023453,54.29575543,39.76347058,0.527191011,0.401666708,1.494463275,0.598006036
89,3422,3422,Islington,Inner,0.017239121,371091.6274,1080.044158,105.8575865,55.79660462,0.54,0.959334128,1.660861253,1.5952533
96,3429,3429,Southwark,Central,0.245441705,101344.9587,1067.612844,42.06132763,36.83245424,0.500735294,0.678859478,1.669558448,1.137690264
73,3406,3406,Camden,Inner,0.115550751,383661.7837,1042.315155,94.73643645,50.38359407,0.500357143,0.921490493,1.698777498,1.569587322
63,3396,3396,Lambeth,Inner,0.093541649,336435.7493,1033.226867,103.6767721,54.32987546,0.506923077,0.534726925,1.659473844,0.89329927
36,3369,3369,City of Westminster,Inner,0.185047323,307572.8768,1009.777908,101.7609502,52.65169298,0.551186441,0.335522764,1.121025967,0.373756291
97,3430,3430,City of Westminster,Inner,0.535972158,311602.6982,965.495406,82.09061359,44.17149664,0.525786517,1.156517638,1.224267436,1.414503809
61,3394,3394,City of Westminster,Central,0.756847537,188607.5923,816.9160426,56.01888995,35.42383048,0.497307692,2.933355298,1.483027873,4.264253123
46,3379,3379,Tower Hamlets,Inner,0.203930352,239461.7422,803.1733982,64.60676489,35.8079238,0.49635514,0.526066019,1.689416485,0.875104614
81,3414,3414,City,Central,0.299743698,144705.1546,797.0411389,42.89258643,29.62872673,0.4775,0.816102124,1.588306706,1.295467395
102,3435,3435,City of Westminster,Inner,0.662385384,232966.5862,795.8044636,66.26952285,35.51664836,0.529923077,0.671046135,1.369263533,0.922087266
79,3412,3412,City of Westminster,Central,0.046748005,192417.5251,788.868276,52.75829789,32.90941529,0.468571429,0.845207971,1.60134263,1.363384625
95,3428,3428,Southwark,Inner,0.079254223,143379.2172,737.5871388,45.9513534,29.34815265,0.456724138,0.677222547,1.59072861,1.084097464
52,3385,3385,City of Westminster,Central,0.034343696,161717.1673,694.2347749,43.91301136,25.61324572,0.468,1.524121392,1.641927428,2.501569049
104,3437,3437,City of Westminster,Central,0.453834515,126048.7783,663.2107052,38.59882125,25.73299459,0.53221374,0.622935017,1.42093385,0.891173076
17,3170,3170,City of Westminster,Inner,0.086679991,196748.6897,608.8939621,59.70623997,32.45782269,0.521904762,0.284708579,1.286702769,0.364779023
62,3395,3395,Southwark,Central,0.57283084,95457.24529,565.6721898,31.84749243,22.18640828,0.47776204,1.635999379,1.731781936,2.848256331
55,3388,3388,Camden,Inner,0.594571909,190245.5375,543.1208229,52.19591119,27.77786921,0.513269231,0.976299421,1.577630697,1.517817839
27,3306,3306,Kensington and Chelsea,Inner,0.470099145,162296.9561,512.1623542,47.26821965,26.00321548,0.519525692,0.625819191,1.311331863,0.827825221
24,3291,3291,City of Westminster,Inner,1.000392731,146091.2458,503.7307515,45.87073705,24.72436408,0.499215686,1.055305393,1.228879936,1.168008156
100,3433,3433,Tower Hamlets,Inner,0.24933049,169826.8529,476.2974902,46.56301735,24.83664328,0.476031746,3.134177349,1.475681618,4.620587051
59,3392,3392,Hackney,Inner,0.387343847,163658.479,472.0344944,46.837298,25.03027562,0.48192,2.198653749,1.682361513,3.655044752
91,3424,3424,Hackney,Inner,0.249821534,164353.6623,445.1843405,41.30397849,21.88037669,0.498862275,0.688229803,1.724683039,1.177609409
116,3449,3449,City of Westminster,Central,0.194796293,115092.4445,444.9532395,34.90820554,19.7515093,0.499798658,3.401314151,1.477671628,4.917951927
39,3372,3372,Camden,Central,0.002099685,132519.8265,410.9420273,42.1458063,24.26831239,0.474,6.892618867,1.415432053,9.756426118
48,3381,3381,Lambeth,Inner,0.217964902,142202.2892,406.5383873,46.16505388,24.13522742,0.525433071,0.345281755,1.425798211,0.491600145
71,3404,3404,City of Westminster,Inner,0.567334304,129118.2744,398.7350681,37.9637784,20.22778821,0.549595016,0.486217408,1.211964064,0.610985997
19,3172,3172,Wandsworth,Inner,0.054337019,134867.802,386.520842,44.12007522,22.90247679,0.471904762,0.213893803,1.835212908,0.392627352
