FID,TARGET_FID,score_perc,accessibility,WDI,HSA
0,0,0.53,0.232291133,1.222757236,0.284641122
1,0,0.52,0.233694118,1.237025529,0.290151472
2,0,0.6,0.343779859,1.013996038,0.348591415
3,0,0.61,0.357766446,1.126247987,0.402521558
4,0,0.54,0.51371737,1.166930733,0.599855551
5,0,0.57,0.370484177,1.104528376,0.410372584
6,0,0.57,0.45467125,1.066380765,0.488038887
7,0,0.58,0.14206794,1.248326406,0.177079845
8,0,0.62,0.303637171,1.109905688,0.337008623
9,0,0.58,0.43054219,1.100489343,0.475698113
10,0,0.54,0.467644996,1.15347986,0.539415559
11,0,0.44,0.419851413,1.098109574,0.461152446
12,0,0.56,0.405926428,1.04804086,0.425427483
13,0,0.59,0.150969315,0.965087791,0.145698643
14,0,0.53,0.185640499,1.028093399,0.190855771
15,0,0.57,0.255223359,1.277471908,0.326026324
16,0,0.56,0.262091568,1.21744092,0.318730139
17,0,0.55,0.195901566,1.361203417,0.266661882
18,0,0.56,0.256546591,1.308538579,0.335701112
19,0,0.56,0.246566754,1.290475698,0.318181432
20,0,0.59,0.279252164,1.035729823,0.289229794
21,0,0.63,0.280496963,0.976099901,0.273793057
22,0,0.62,0.228656096,1.020618414,0.233370622
23,0,0.6,0.279933051,1.024941767,0.286915076
24,0,0.63,0.264813071,1.056664468,0.280145384
25,0,0.6,0.271221037,1.215868156,0.329769022
26,0,0.57,0.138442464,0.99480956,0.137723886
27,0,0.61,0.144119805,1.038106095,0.149611648
28,0,0.59,0.268012526,0.933561222,0.250206102
29,0,0.58,0.157633254,0.797197152,0.125664781
30,0,0.53,0.163311295,0.91570553,0.149545056
31,0,0.62,0.228928352,0.897543369,0.205473124
32,0,0.56,0.239083124,1.463854058,0.349601997
33,0,0.57,0.166232249,1.360358055,0.225853965
34,0,0.58,0.239247243,1.411950732,0.338149452
35,0,0.56,0.219652352,1.383628973,0.303917359
36,0,0.56,0.219424109,1.383628973,0.303601555
37,0,0.56,0.219333157,1.383628973,0.30347571
38,0,0.58,0.219272049,1.369248456,0.300317161
39,0,0.56,0.224600321,1.383628973,0.310763511
40,0,0.56,0.225548204,1.372004972,0.309453258
41,0,0.56,0.267928312,1.360076754,0.364403069
42,0,0.56,0.268461225,1.360076754,0.365127872
43,0,0.55,0.269067308,1.360076754,0.365952191
44,0,0.55,0.219521276,1.411359633,0.309823467
45,0,0.55,0.219443745,1.411359633,0.309714043
46,0,0.53,0.309599662,1.303026496,0.403416562
47,0,0.56,0.259577127,1.299502335,0.337321082
48,0,0.6,0.305597094,1.317382494,0.402588262
49,0,0.55,0.21014247,1.377080822,0.289484862
50,0,0.55,0.262959487,1.295542443,0.340675176
51,0,0.58,0.195374044,1.355992267,0.264925693
52,0,0.52,0.190930604,1.34864289,0.257497202
53,0,0.54,0.19246841,1.534089187,0.295263706
54,0,0.58,0.208335847,1.355341476,0.282367573
55,0,0.59,0.206425983,1.41409426,0.291905797
56,0,0.61,0.202728654,1.41729098,0.287325493
57,0,0.61,0.149027396,1.353661973,0.20173272
58,0,0.57,0.216704604,1.344880442,0.291441784
59,0,0.4,0.253660503,1.378705802,0.349723207
60,0,0.58,0.266282161,1.309806559,0.348778121
61,0,0.59,0.266885217,1.306929166,0.348800074
62,0,0.59,0.260566975,1.337363656,0.348472803
63,0,0.57,0.486803155,1.108494641,0.539397211
64,0,0.58,0.21627213,1.350398128,0.292053479
65,0,0.58,0.213364026,1.350398128,0.288126382
66,0,0.63,0.256500892,1.437892034,0.368820589
67,0,0.59,0.280594338,1.48888239,0.417771969
68,0,0.59,0.31526278,1.566153086,0.493749775
69,0,0.59,0.309769568,1.567618328,0.485600453
70,0,0.57,0.2679792,1.594030802,0.427167099
71,0,0.57,0.287965284,1.549681165,0.446254376
72,0,0.57,0.271392864,1.60033028,0.434318219
73,0,0.57,0.258836625,1.624179041,0.420397022
74,0,0.57,0.255828036,1.624179041,0.415510534
75,0,0.57,0.254690631,1.624179041,0.413663184
76,0,0.55,0.3002849,1.584233775,0.47572148
77,0,0.57,0.252977837,1.573533161,0.398069015
78,0,0.57,0.293659064,1.592109769,0.467537465
79,0,0.55,0.291582551,1.568567234,0.457366836
80,0,0.57,0.289979373,1.592109769,0.461678993
81,0,0.57,0.247069099,1.635857701,0.404169888
82,0,0.58,0.241834343,1.634998255,0.395398728
83,0,0.59,0.183540979,1.476469999,0.27099275
84,0,0.57,0.285496269,1.598924268,0.456486913
85,0,0.59,0.177348355,1.467388456,0.260238928
86,0,0.54,0.276472378,1.538172792,0.42526229
87,0,0.55,0.268095379,1.519778648,0.407445633
88,0,0.55,0.219498504,1.570343258,0.344687996
89,0,0.58,0.26540603,1.441764567,0.38265301
90,0,0.53,0.217874751,1.480008455,0.322456474
91,0,0.56,0.207691238,1.439000098,0.299056703
92,0,0.61,0.249574723,1.438440692,0.358998437
93,0,0.63,0.194124838,1.544201542,0.299767875
94,0,0.62,0.18126636,1.417724786,0.256985812
95,0,0.59,0.168925773,1.451307644,0.245163266
96,0,0.64,0.164704037,1.42829411,0.235245806
97,0,0.59,0.393052305,1.286388097,0.502748283
98,0,0.56,0.432135458,1.343007396,0.580254346
99,0,0.55,0.464552571,1.557340176,0.723466383
100,0,0.58,0.458223925,1.493485649,0.684350856
101,0,0.58,0.441979368,1.518780322,0.671269567
102,0,0.53,0.452263948,1.590990323,0.719547564
103,0,0.58,0.441100388,1.589836874,0.701277662
104,0,0.58,0.440235339,1.487036026,0.654645808
105,0,0.57,0.438687545,1.589836874,0.697441636
106,0,0.57,0.439191935,1.554797598,0.682854565
107,0,0.57,0.437778689,1.589836874,0.695996702
108,0,0.57,0.424621766,1.587897019,0.674255637
109,0,0.57,0.423549452,1.607866146,0.681010825
110,0,0.56,0.392587766,1.589836874,0.624150506
111,0,0.57,0.335248487,1.620305585,0.543204995
112,0,0.57,0.339918101,1.581990964,0.537747365
113,0,0.54,0.328919345,1.590363166,0.523101211
114,0,0.54,0.326058031,1.590363166,0.518550683
115,0,0.57,0.287182748,1.621934728,0.465791673
116,0,0.54,0.323793534,1.551189901,0.50226526
117,0,0.57,0.320444521,1.566153086,0.501865175
118,0,0.55,0.3400591,1.35791391,0.461770981
119,0,0.55,0.3156706,1.362563879,0.430121357
120,0,0.51,0.336133098,1.370287546,0.460598997
121,0,0.6,0.384517676,1.357950335,0.522155907
122,0,0.57,0.492727904,1.354883871,0.667597709
123,0,0.51,0.480945895,1.414281334,0.680192802
124,0,0.59,0.470828185,1.39650031,0.657511706
125,0,0.57,0.45481772,1.373468751,0.624677925
126,0,0.56,0.447352859,1.369696945,0.612728025
127,0,0.57,0.457899004,1.385721539,0.634520512
128,0,0.58,0.31656805,1.37350737,0.43480855
129,0,0.56,0.307654842,1.390195107,0.427700255
130,0,0.66,0.35785742,1.428711295,0.511274938
131,0,0.56,0.441055471,1.455332819,0.641882502
132,0,0.65,0.328361886,1.43848974,0.472345204
133,0,0.54,0.283679681,1.402926151,0.397981642
134,0,0.62,0.276108394,1.401242545,0.386894829
135,0,0.5,0.300181048,1.381944879,0.414792506
136,0,0.55,0.296842506,1.372480968,0.407410691
137,0,0.61,0.312753404,1.36318271,0.426907988
138,0,0.53,0.326856748,1.332872699,0.435658436
139,0,0.58,0.382425436,1.348101438,0.51554828
140,0,0.5,0.373874664,1.383662009,0.517315231
141,0,0.5,0.375770713,1.395657474,0.524446684
142,0,0.59,0.43594143,1.328383843,0.576420356
143,0,0.48,0.349902459,1.322719459,0.462822792
144,0,0.52,0.392784824,1.354730582,0.532135461
145,0,0.51,0.391578629,1.335501611,0.52333692
146,0,0.56,0.406129789,1.364550251,0.554184505
147,0,0.54,0.342340281,1.346898416,0.461097582
148,0,0.41,0.259786495,1.319748423,0.344327385
149,0,0.55,0.265525079,1.333408731,0.354053459
150,0,0.5,0.627587817,1.438099685,0.902529016
151,0,0.45,0.584309402,1.476195976,0.862264265
152,0,0.63,0.592506182,1.41448404,0.83799684
153,0,0.45,0.587539527,1.424131702,0.836613942
154,0,0.59,0.659772635,1.389124442,0.915330004
155,0,0.52,0.59352738,1.331071934,0.790027638
156,0,0.52,0.553713778,1.395568538,0.772989788
157,0,0.6,0.485325464,1.376424236,0.668015621
158,0,0.51,0.582415933,1.395870169,0.812992643
159,0,0.51,0.547369455,1.469110511,0.80414622
160,0,0.43,0.508915864,1.380738828,0.702679894
161,0,0.46,0.498806388,1.376796918,0.686755097
