FID,CO2,NOx,PM10,PM2.5,Shape_Area
0,78954.48436,256.0927996,23.1269559,12.59686441,0.999784083
1,0,0.002227698,0.000257503,0.000244628,0.000889013
2,41958.58529,139.5704618,13.45845924,7.345929742,0.998903236
3,606.8279866,7.751334507,0.270960156,0.257476997,0.008787336
4,85331.19591,295.8687128,25.77827708,14.14634694,0.990988148
5,17163.27633,51.12621368,5.467506533,2.922791054,0.208413871
6,64590.5822,243.7424222,18.83759042,10.58303325,0.791385907
7,45143.07499,135.2330732,13.80218835,7.396511283,0.723896993
8,15835.23813,54.26965657,5.562322044,3.025895034,0.275895282
9,0.0799,0.001616066,0.000116598,0.000110768,0.000162916
10,12380.61483,33.22322904,4.265105995,2.227255193,0.395183208
11,26527.20482,72.43271336,9.702630902,5.067218802,0.6046111
12,83057.87291,256.0216918,26.18717503,14.38504046,0.999804003
13,30522.77905,92.95913898,10.15447687,5.503811778,0.448083755
14,35778.87357,105.8145178,11.08423981,5.959266537,0.551718509
15,1462.758458,4.601550158,0.532801631,0.311040885,0.033313319
16,34813.70005,104.7480779,10.76261234,5.643914257,0.764161712
17,17054.17463,52.7789231,5.175336339,2.813443776,0.086631987
18,18198.73347,49.6575005,5.967093511,3.097104291,0.148990927
19,7328.314258,21.00239016,2.397353345,1.244452306,0.054306277
20,78972.46901,224.2313375,26.28177446,13.7632687,0.945470326
21,5327.851054,13.94988598,1.730311079,0.903589441,0.213415674
22,58924.1208,161.5902954,17.24075017,9.264725308,0.786387753
23,21219.9423,75.95863431,6.749764386,3.768993416,0.306332381
24,146148.6203,503.9285822,45.88875191,24.7340741,0.999802288
25,73816.63639,216.1771337,22.73755181,12.09408587,0.999784655
26,62527.29144,192.8910731,18.85432293,10.31482177,0.999802645
27,76295.66031,240.7670848,22.22074964,12.22408937,0.469808916
28,45374.05814,147.1397362,13.5452578,7.572265576,0.529985272
29,25140.36656,80.22294615,9.015678988,4.89373955,0.742908337
30,2454.812916,7.357163934,0.934482526,0.495038914,0.06846937
31,18856.27876,64.52839765,6.933376352,3.806713895,0.188406451
32,54.72780076,0.281574823,0.03016065,0.021529968,0.004244474
33,6640.454878,20.48099311,1.891408546,1.056438618,0.064722479
34,26.10759234,0.076214418,0.008884487,0.004806673,6.6797E-05
35,1269.888096,3.841487372,0.352808204,0.19652236,0.010890523
36,56915.53734,186.8566982,18.83059137,9.743054813,0.184939143
37,57674.0587,184.4480172,19.01512366,11.55059484,0.814853339
38,20792.8091,60.66807348,6.967358122,3.706067658,0.241254978
39,278.249932,0.862848935,0.08849293,0.050955819,0.0020985
40,100595.624,614.8299915,32.64818327,23.09267837,0.427291472
41,6326.249134,28.03290792,2.398419029,1.365419247,0.019266324
42,35619.81334,278.4108371,13.44858658,9.849065965,0.247552336
43,74134.53268,213.0416995,22.68174167,11.85039071,0.993720024
44,69.1785341,0.190648042,0.023390899,0.013088838,0.006078517
45,1054.25147,3.086144751,0.292574492,0.173954049,0.035445151
46,48833.51744,163.791434,13.17528032,7.302322513,0.203818886
47,21202.30953,176.2636979,8.090226789,6.477146294,0.146126449
48,30995.10807,88.61109987,10.06236146,5.260632486,0.217840869
49,11424.01516,33.97198105,4.065363929,2.123783574,0.407246865
50,84024.07665,246.8937597,25.60118701,13.56922076,0.936055232
51,2945.373262,8.061363351,0.812200632,0.439888087,0.063741711
52,5553.965198,23.84258792,1.508135103,0.879653519,0.034324443
53,222.6431643,0.585938859,0.090477706,0.04831156,0.001519186
54,67.68874842,0.273697975,0.029316129,0.018080094,0.004799424
55,113114.6524,322.9243845,31.03422256,16.51594072,0.594248744
56,26066.6164,79.62983408,7.553464713,4.463241622,0.401300502
57,5673.6923,17.12471402,1.873587222,0.973200451,0.01265395
58,58731.38284,181.0809546,18.52957873,10.28182236,0.922415351
59,63392.10491,182.8396572,18.14213921,9.695323259,0.387137258
60,5932.795533,18.85229312,1.875490891,1.071215294,0.154158664
61,142747.1918,618.280895,42.3977589,26.81043886,0.756431429
62,54680.85399,324.0344756,18.24322584,12.70905889,0.572498389
63,31470.75473,96.64974482,9.69809621,5.082106134,0.093472446
64,33860.99107,98.60120204,11.087356,5.950046043,0.639499554
65,70906.57523,231.7047886,21.79404272,11.53533326,0.985528012
66,666.8572498,3.671788387,0.19569478,0.125654019,0.014256065
67,27049.05517,74.70660036,8.584419451,4.462955786,0.288029596
68,1101.242845,3.453201022,0.357543954,0.196649158,0.086681457
69,20563.93202,61.95315881,6.999224648,3.811225157,0.431369795
70,137.593506,0.642377952,0.069386841,0.045712568,0.016160968
71,73253.22637,226.2160824,21.5381538,11.47591815,0.567011167
72,4744.660777,14.18232436,1.533955495,0.921212751,0.080378034
73,44332.40709,120.4402986,10.94686634,5.821862113,0.115485984
74,44715.63121,133.2718789,14.50608387,8.162881217,0.780282343
75,22100.45675,57.16434942,5.498342516,2.857263167,0.041476672
76,32586.89741,101.6656023,10.34073919,5.817845263,0.656500274
77,118583.6063,364.9377754,31.58081338,18.28265597,0.999718734
78,20511.27971,68.30630172,6.614539545,3.860164356,0.3899535
79,8995.135509,36.87801846,2.466345197,1.538449525,0.046721823
80,15263.79196,56.4157778,3.323314332,1.832928922,0.025740998
81,43374.45816,238.9080584,12.85678247,8.881024116,0.299588286
82,69345.89184,234.3810689,21.06758915,11.65246298,0.649998315
83,9903.2219,32.19523362,3.433648377,1.918746984,0.349637306
84,46446.60469,143.5397206,13.39589867,7.249760462,0.546214569
85,63078.0479,178.134856,18.76727432,10.00025791,0.655709223
86,12393.75452,38.00518243,3.761877742,2.111871427,0.344090501
87,24987.07546,71.8787695,8.019666877,4.302567132,0.349761725
88,17.60553665,0.107942502,0.01313451,0.009934271,0.002641848
89,6397.293483,18.61901197,1.824891747,0.961884421,0.017229981
90,1603.977455,5.516401856,0.60943892,0.356468153,0.086787602
91,41059.0841,111.216635,10.31862328,5.466189276,0.249690231
92,577.441401,2.005136954,0.144002835,0.088880774,0.016676424
93,8.336470879,0.025979242,0.002778288,0.001552554,7.40797E-05
94,15009.98249,48.2864914,4.53468859,2.55204505,0.2853185
95,11363.40846,58.4568956,3.641838811,2.325965036,0.079209759
96,24874.27947,262.0367169,10.32360398,9.040220376,0.245304751
97,167010.3707,517.4786568,43.99828336,23.6746924,0.53566871
98,37190.65936,131.6620191,10.84155952,6.316054579,0.464125546
99,21018.38035,67.5512829,5.840426574,3.327540063,0.230841427
100,42343.01239,118.7554865,11.60957991,6.19253243,0.249194702
101,5133.112393,17.69161832,1.637077523,0.963555485,0.178027643
102,154313.6617,527.1292453,43.89596335,23.52570877,0.661993252
103,15536.97602,48.10235666,4.939819982,2.762203842,0.304495693
104,57205.28616,300.9879088,17.51747732,11.67852112,0.453578991
105,79787.08174,519.9700713,25.87285196,19.09738211,0.277799257
106,39637.27326,127.4147171,10.61689328,6.083474002,0.427005797
107,6690.789026,22.93508196,2.153779838,1.245706353,0.114611531
108,2153.690046,5.598337193,0.543731839,0.287900566,0.002441629
109,56543.18609,180.2775092,15.61147134,8.904129085,0.546269604
110,12815.85723,37.82859736,3.690301291,1.8982699,0.018982765
111,55130.16332,169.2800502,17.09627522,9.205685765,0.980818349
112,47408.21842,139.7460187,15.22801379,8.125067739,0.686456387
113,6.924454069,0.06883964,0.006759051,0.00532367,0.007005668
114,1953.113347,6.931082874,0.594539635,0.31543499,0.001817966
115,97856.33926,312.5241678,27.7485793,16.4762065,0.997984664
116,22419.5815,86.67524143,6.799989021,3.847520785,0.194673621
117,11738.8281,44.98200144,2.866365223,1.559582244,0.023371646
118,52740.23829,183.9285353,16.77384569,9.685906422,0.976430481
119,35056.02157,105.9712363,10.5146955,5.734635548,0.371374979
