FID,CO2_km2,NOx_km2,PM10_km2,PM25_km2,Shape_Area,score_perc,accessibility,WDI,HSA
114,1074339.865,3812.54813,327.0356184,173.5098401,0.001817966,0.516666667,0.884871778,1.295203638,1.144627451
108,882070.9641,2292.869716,222.6922432,117.9133136,0.002441629,0.532857143,1.228452091,1.569597364,1.925231781
123,906563.7437,2541.891958,226.541762,115.8446674,0.011848019,0.537647059,0.301978358,1.60735877,0.483084581
110,675131.2167,1992.786476,194.4027275,99.99965232,0.018982765,0.5185,0.305450531,1.565941082,0.474494932
57,448373.2194,1353.309759,148.0634286,76.90882697,0.01265395,0.548888889,0.756109752,1.773973699,1.339855768
34,390849.7738,1140.985643,133.0072758,71.95941434,6.68E-05,0.46,1.398220187,1.596724103,2.231110452
80,592975.9196,2191.670183,129.1058852,71.20659898,0.025740998,0.491428571,0.787346128,1.669260203,1.311050005
41,328357.8712,1455.021099,124.4876308,70.87077156,0.019266324,0.437,0.300054025,1.558629299,0.466616487
75,532840.6471,1378.228934,132.5646984,68.88843847,0.041476672,0.506949153,0.726650602,1.745514981,1.25520114
105,287211.2856,1871.747523,93.13506537,68.74525986,0.277799257,0.471681416,1.05567495,1.552255598,1.631428473
117,502267.9233,1924.639858,122.6428478,66.72967082,0.023371646,0.516521739,1.100725292,1.462226698,1.61188782
89,371288.4816,1080.617092,105.9137411,55.82620323,0.017229981,0.54,0.959334128,1.660861253,1.5952533
63,336684.8315,1033.991823,103.7535298,54.37009891,0.093472446,0.506923077,0.534726925,1.659473844,0.89329927
40,235426.2385,1438.900684,76.40728966,54.0443231,0.427291472,0.469820789,1.529565888,1.461922818,2.218436649
36,307752.7905,1010.368574,101.8204749,52.68249141,0.184939143,0.551186441,0.335522764,1.121025967,0.373756291
73,383876.9481,1042.899705,94.78956633,50.41185009,0.115485984,0.500357143,0.921490493,1.698777498,1.569587322
47,145095.6324,1206.24089,55.36456161,44.32562577,0.146126449,0.490727273,0.599717927,1.607073578,0.966890214
97,311779.2165,966.0423451,82.13711673,44.19651915,0.53566871,0.525786517,1.156517638,1.224267436,1.414503809
42,143888.0114,1124.654453,54.32623581,39.78579287,0.247552336,0.527191011,0.401666708,1.494463275,0.598006036
96,101401.5398,1068.208895,42.08481058,36.85301789,0.245304751,0.500735294,0.678859478,1.669558448,1.137690264
46,239592.7011,803.6126446,64.64209759,35.82750675,0.203818886,0.49635514,0.526066019,1.689416485,0.875104614
102,233104.5841,796.2758589,66.30877765,35.53768667,0.661993252,0.529923077,0.671046135,1.369263533,0.922087266
61,188711.3443,817.3654231,56.0497056,35.44331691,0.756431429,0.497307692,2.933355298,1.483027873,4.264253123
